"","X","year_ceremony","category","film","winner","year","genre1","genre2","genre3","rating","gross","runtime"
"735","855",2005,"WRITING","Vera Drake","False",2004,"Crime","Drama",NA,7.7,"3753806",125
"736","856",2006,"ANIMATED FEATURE FILM","Howl's Moving Castle","False",2004,"Animation","Adventure","Family",8.2,"4711096",119
"737","633",2006,"ANIMATED FEATURE FILM","Tim Burton's Corpse Bride","False",NA,NA,NA,NA,NA,NA,NA
"738","642",2006,"ANIMATED FEATURE FILM","Wallace & Gromit in The Curse of the Were-Rabbit","True",NA,NA,NA,NA,NA,NA,NA
"739","865",2006,"BEST PICTURE","Brokeback Mountain","False",2005,"Drama","Romance",NA,7.7,"83043761",134
"740","866",2006,"BEST PICTURE","Capote","False",2005,"Biography","Crime","Drama",7.3,"28747570",114
"741","869",2006,"BEST PICTURE","Crash","True",2004,"Crime","Drama","Thriller",7.8,"54580300",112
"742","871",2006,"BEST PICTURE","Good Night, and Good Luck.","False",2005,"Biography","Drama","History",7.4,"31501218",93
"743","873",2006,"BEST PICTURE","Munich","False",2005,"Action","Drama","History",7.5,"47403685",164
"744","860",2006,"INTERNATIONAL FEATURE FILM","Don't Tell","False",2005,"Drama","Mystery",NA,6.4,"27105",120
"745","861",2006,"INTERNATIONAL FEATURE FILM","Paradise Now","False",2005,"Crime","Drama","Thriller",7.4,"1452402",91
"746","864",2006,"INTERNATIONAL FEATURE FILM","Tsotsi","True",2005,"Crime","Drama",NA,7.2,"2912363",94
"747","654",2006,"INTERNATIONAL FEATURE FILM","Joyeux Noël","False",NA,NA,NA,NA,NA,NA,NA
"748","666",2006,"INTERNATIONAL FEATURE FILM","Sophie Scholl - The Final Days","False",NA,NA,NA,NA,NA,NA,NA
"749","876",2006,"WRITING","Brokeback Mountain","True",2005,"Drama","Romance",NA,7.7,"83043761",134
"750","877",2006,"WRITING","Capote","False",2005,"Biography","Crime","Drama",7.3,"28747570",114
"751","880",2006,"WRITING","The Constant Gardener","False",2005,"Drama","Mystery","Romance",7.4,"33579797",129
"752","883",2006,"WRITING","A History of Violence","False",2005,"Action","Crime","Drama",7.4,"31493782",96
"753","886",2006,"WRITING","Munich","False",2005,"Action","Drama","History",7.5,"47403685",164
"754","889",2006,"WRITING","Crash","True",2004,"Crime","Drama","Thriller",7.8,"54580300",112
"755","891",2006,"WRITING","Good Night, and Good Luck.","False",2005,"Biography","Drama","History",7.4,"31501218",93
"756","893",2006,"WRITING","Match Point","False",2005,"Drama","Romance","Thriller",7.6,"23089926",124
"757","895",2006,"WRITING","Syriana","False",2005,"Drama","Thriller",NA,6.9,"50824620",128
"758","1721",2006,"WRITING","The Squid and the Whale","False",2005,"Comedy","Drama",NA,NA,"1500000",81
"759","896",2007,"ANIMATED FEATURE FILM","Cars","False",2006,"Animation","Adventure","Comedy",7.2,"244082982",117
"760","900",2007,"ANIMATED FEATURE FILM","Happy Feet","True",2006,"Animation","Adventure","Comedy",6.4,"198000317",108
"761","904",2007,"ANIMATED FEATURE FILM","Monster House","False",2006,"Animation","Comedy","Family",6.6,"73661010",91
"762","912",2007,"BEST PICTURE","The Departed","True",2006,"Crime","Drama","Thriller",8.5,"132384315",151
"763","914",2007,"BEST PICTURE","Letters from Iwo Jima","False",2006,"Action","Adventure","Drama",7.9,"13756082",141
"764","918",2007,"BEST PICTURE","The Queen","False",2006,"Biography","Drama",NA,7.3,"56441711",103
