Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
259,2018-02-20,Champions Lg,Round of 16,Home,Bayern Munich,Beşiktaş,Y,0.50,0.82,Left Foot,5,79,3-0,Fabricio,,Mats Hummels,Shot,,,
260,2018-02-17,Bundesliga,Matchweek 23,Away,Bayern Munich,Wolfsburg,N,0.79,0.99,Right Foot,13,90+1,1-1,Koen Casteels,,Arjen Robben,Fouled,Rafinha,Pass (Live),
261,2018-02-10,Bundesliga,Matchweek 22,Home,Bayern Munich,Schalke 04,Y,0.70,0.98,Right Foot,6,6,0-0,Ralf Fährmann,,Thomas Müller,Shot,,,
262,2018-02-06,DFB-Pokal,Quarter-finals,Away,Bayern Munich,Paderborn 07,Y,,,,,25,1-0,Michael Ratajczak,Kingsley Coman,,,,,
263,2018-01-27,Bundesliga,Matchweek 20,Home,Bayern Munich,Hoffenheim,Y,0.81,0.99,Left Foot,4,21,0-2,Oliver Baumann,Joshua Kimmich,Joshua Kimmich,Shot,,,
264,2018-01-21,Bundesliga,Matchweek 19,Home,Bayern Munich,Werder Bremen,Y,0.07,0.31,Head,10,76,2-2,Jiří Pavlenka,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Pass (Live),
265,2018-01-21,Bundesliga,Matchweek 19,Home,Bayern Munich,Werder Bremen,Y,0.10,0.16,Head,8,63,1-1,Jiří Pavlenka,James Rodríguez,James Rodríguez,Pass (Dead),James Rodríguez,Pass (Live),
266,2017-12-13,Bundesliga,Matchweek 16,Home,Bayern Munich,Köln,Y,0.58,0.95,Left Foot,7,60,0-0,Timo Horn,Thomas Müller,Thomas Müller,Pass (Live),Jérôme Boateng,Pass (Live),Volley
267,2017-12-05,Champions Lg,Group stage,Home,Bayern Munich,Paris S-G,Y,0.49,0.95,Left Foot,8,8,0-0,Alphonse Areola,,James Rodríguez,Pass (Live),Franck Ribéry,Pass (Live),
268,2017-12-02,Bundesliga,Matchweek 14,Home,Bayern Munich,Hannover 96,Y,0.79,0.99,Right Foot,13,87,2-1,Philipp Tschauner,,Kingsley Coman,Fouled,Kingsley Coman,Take-On,
269,2017-11-22,Champions Lg,Group stage,Away,Bayern Munich,Anderlecht,Y,0.52,0.54,Right Foot,8,51,0-0,Matz Sels,Corentin Tolisso,Corentin Tolisso,Pass (Live),James Rodríguez,Pass (Live),
270,2017-11-18,Bundesliga,Matchweek 12,Home,Bayern Munich,Augsburg,Y,0.32,0.62,Left Foot,10,49,2-0,Marwin Hitz,Joshua Kimmich,Joshua Kimmich,Pass (Live),Javi Martínez,Pass (Live),Volley
271,2017-11-18,Bundesliga,Matchweek 12,Home,Bayern Munich,Augsburg,Y,0.34,0.43,Right Foot,14,38,1-0,Marwin Hitz,Arturo Vidal,Arturo Vidal,Pass (Live),Arturo Vidal,Tackle,
272,2017-11-04,Bundesliga,Matchweek 11,Away,Bayern Munich,Dortmund,Y,0.11,0.19,Right Foot,10,37,1-0,Roman Bürki,Joshua Kimmich,Joshua Kimmich,Pass (Live),Arjen Robben,Pass (Live),Deflected
273,2017-10-28,Bundesliga,Matchweek 10,Home,Bayern Munich,RB Leipzig,Y,0.31,0.60,Right Foot,20,38,1-0,Péter Gulácsi,Javi Martínez,Javi Martínez,Pass (Live),Robert Lewandowski,Pass (Live),
274,2017-10-14,Bundesliga,Matchweek 8,Home,Bayern Munich,Freiburg,Y,0.32,0.71,Right Foot,14,75,3-0,Alexander Schwolow,Thomas Müller,Thomas Müller,Pass (Live),Thomas Müller,Tackle,
,,,,,,,,,,,,,,,,,,,,
275,2017-10-08,WCQ,First round,Home,Poland,Montenegro,Y*,,,,,85,2-2,Danijel Petković,,,,,,
276,2017-10-05,WCQ,First round,Away,Poland,Armenia,Y*,,,,,64,4-1,Grigor Meliksetyan,Kamil Grosicki,,,,,
277,2017-10-05,WCQ,First round,Away,Poland,Armenia,Y*,,,,,25,2-0,Grigor Meliksetyan,Kamil Grosicki,,,,,
278,2017-10-05,WCQ,First round,Away,Poland,Armenia,Y*,,,,,18,1-0,Grigor Meliksetyan,,,,,,
,,,,,,,,,,,,,,,,,,,,
279,2017-10-01,Bundesliga,Matchweek 7,Away,Bayern Munich,Hertha BSC,Y,0.35,0.69,Left Foot,11,49,1-0,Rune Jarstein,Corentin Tolisso,Corentin Tolisso,Pass (Live),Jérôme Boateng,Pass (Live),Volley
280,2017-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,Y,0.79,0.95,Right Foot,13,33,0-0,Koen Casteels,,Robert Lewandowski,Fouled,Jérôme Boateng,Pass (Live),
281,2017-09-19,Bundesliga,Matchweek 5,Away,Bayern Munich,Schalke 04,Y,0.79,0.99,Right Foot,13,25,0-0,Ralf Fährmann,,,Fouled,James Rodríguez,Pass (Live),
282,2017-09-16,Bundesliga,Matchweek 4,Home,Bayern Munich,Mainz 05,Y,0.06,0.26,Head,10,77,3-0,René Adler,Joshua Kimmich,Joshua Kimmich,Pass (Live),Franck Ribéry,Pass (Live),
283,2017-09-16,Bundesliga,Matchweek 4,Home,Bayern Munich,Mainz 05,Y,0.40,0.83,Left Foot,9,50,2-0,René Adler,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Pass (Live),
284,2017-09-12,Champions Lg,Group stage,Home,Bayern Munich,Anderlecht,Y,0.79,0.99,Right Foot,13,12,0-0,Matz Sels,,Robert Lewandowski,Fouled,Corentin Tolisso,Pass (Live),
,,,,,,,,,,,,,,,,,,,,
285,2017-09-04,WCQ,First round,Home,Poland,Kazakhstan,Y*,,,,,86,2-0,David Loria,,,,,,
,,,,,,,,,,,,,,,,,,,,
286,2017-08-26,Bundesliga,Matchweek 2,Away,Bayern Munich,Werder Bremen,Y,0.08,0.04,Left Foot,17,75,1-0,Jiří Pavlenka,Thomas Müller,Robert Lewandowski,Take-On,Thomas Müller,Pass (Live),
287,2017-08-26,Bundesliga,Matchweek 2,Away,Bayern Munich,Werder Bremen,Y,0.51,0.78,Right Foot,5,72,0-0,Jiří Pavlenka,Kingsley Coman,Kingsley Coman,Pass (Live),Arturo Vidal,Pass (Live),
288,2017-08-18,Bundesliga,Matchweek 1,Home,Bayern Munich,Leverkusen,Y,0.79,0.97,Right Foot,13,53,2-0,Bernd Leno,,Robert Lewandowski,Fouled,David Alaba,Pass (Live),
289,2017-08-12,DFB-Pokal,First round,Away,Bayern Munich,Chemnitzer FC,Y,,,,,60,2-0,Kevin Kunz,Corentin Tolisso,,,,,
290,2017-08-12,DFB-Pokal,First round,Away,Bayern Munich,Chemnitzer FC,Y,,,,,20,0-0,Kevin Kunz,,,,,,
291,2017-08-05,DFL-Supercup,DFL-Supercup,Away,Bayern Munich,Dortmund,Y,,,,,18,0-1,Roman Bürki,Joshua Kimmich,,,,,
,,,,,,,,,,,,,,,,,,,,
292,2017-06-10,WCQ,First round,Home,Poland,Romania,Y*,,,,,62,2-0,Ciprian Tătărușanu,,,,,,
293,2017-06-10,WCQ,First round,Home,Poland,Romania,Y*,,,,,57,1-0,Ciprian Tătărușanu,Piotr Zieliński,,,,,
294,2017-06-10,WCQ,First round,Home,Poland,Romania,Y*,,,,,29,0-0,Ciprian Tătărușanu,,,,,,
,,,,,,,,,,,,,,,,,,,,
295,2017-05-13,Bundesliga,Matchweek 33,Away,Bayern Munich,RB Leipzig,Y,,,,,84,2-4,Péter Gulácsi,,,,,,
296,2017-05-13,Bundesliga,Matchweek 33,Away,Bayern Munich,RB Leipzig,Y,,,,,17,0-1,Péter Gulácsi,,,,,,
297,2017-04-29,Bundesliga,Matchweek 31,Away,Bayern Munich,Wolfsburg,Y,,,,,45,2-0,Koen Casteels,Kingsley Coman,,,,,
298,2017-04-29,Bundesliga,Matchweek 31,Away,Bayern Munich,Wolfsburg,Y,,,,,36,1-0,Koen Casteels,Thomas Müller,,,,,
299,2017-04-18,Champions Lg,Quarter-finals,Away,Bayern Munich,Real Madrid,Y,,,,,53,0-0,Keylor Navas,,,,,,
300,2017-04-08,Bundesliga,Matchweek 28,Home,Bayern Munich,Dortmund,Y,,,,,68,3-1,Roman Bürki,,,,,,
301,2017-04-08,Bundesliga,Matchweek 28,Home,Bayern Munich,Dortmund,Y,,,,,10,1-0,Roman Bürki,,,,,,
302,2017-04-01,Bundesliga,Matchweek 26,Home,Bayern Munich,Augsburg,Y,,,,,79,4-0,Marwin Hitz,,,,,,
303,2017-04-01,Bundesliga,Matchweek 26,Home,Bayern Munich,Augsburg,Y,,,,,55,2-0,Marwin Hitz,Franck Ribéry,,,,,
304,2017-04-01,Bundesliga,Matchweek 26,Home,Bayern Munich,Augsburg,Y,,,,,17,0-0,Marwin Hitz,Thiago Alcántara,,,,,
,,,,,,,,,,,,,,,,,,,,
305,2017-03-26,WCQ,First round,Away,Poland,Montenegro,Y*,,,,,40,0-0,Mladen Božović,,,,,,
,,,,,,,,,,,,,,,,,,,,
306,2017-03-11,Bundesliga,Matchweek 24,Home,Bayern Munich,Eint Frankfurt,Y,,,,,55,2-0,Lukáš Hrádecký,Arjen Robben,,,,,
307,2017-03-11,Bundesliga,Matchweek 24,Home,Bayern Munich,Eint Frankfurt,Y,,,,,38,0-0,Lukáš Hrádecký,Thomas Müller,,,,,
308,2017-03-07,Champions Lg,Round of 16,Away,Bayern Munich,Arsenal,Y,,,,,55,0-1,David Ospina,,,,,,
309,2017-03-01,DFB-Pokal,Quarter-finals,Home,Bayern Munich,Schalke 04,Y,,,,,29,2-0,Ralf Fährmann,,,,,,
310,2017-03-01,DFB-Pokal,Quarter-finals,Home,Bayern Munich,Schalke 04,Y,,,,,3,0-0,Ralf Fährmann,Franck Ribéry,,,,,
311,2017-02-25,Bundesliga,Matchweek 22,Home,Bayern Munich,Hamburger SV,Y,,,,,54,3-0,René Adler,Arjen Robben,,,,,
312,2017-02-25,Bundesliga,Matchweek 22,Home,Bayern Munich,Hamburger SV,Y,,,,,42,2-0,René Adler,,,,,,
313,2017-02-25,Bundesliga,Matchweek 22,Home,Bayern Munich,Hamburger SV,Y,,,,,24,1-0,René Adler,,,,,,
314,2017-02-18,Bundesliga,Matchweek 21,Away,Bayern Munich,Hertha BSC,N,,,,,90+6,0-1,Rune Jarstein,,,,,,
315,2017-02-15,Champions Lg,Round of 16,Home,Bayern Munich,Arsenal,Y,,,,,53,1-1,David Ospina,Philipp Lahm,,,,,
316,2017-02-04,Bundesliga,Matchweek 19,Home,Bayern Munich,Schalke 04,Y,,,,,9,0-0,Ralf Fährmann,Arturo Vidal,,,,,
317,2017-01-20,Bundesliga,Matchweek 17,Away,Bayern Munich,Freiburg,Y,,,,,90+1,1-1,Alexander Schwolow,Franck Ribéry,,,,,
318,2017-01-20,Bundesliga,Matchweek 17,Away,Bayern Munich,Freiburg,Y,,,,,35,0-1,Alexander Schwolow,Douglas Costa,,,,,
319,2016-12-21,Bundesliga,Matchweek 16,Home,Bayern Munich,RB Leipzig,Y,,,,,45,2-0,Péter Gulácsi,,,,,,
320,2016-12-10,Bundesliga,Matchweek 14,Home,Bayern Munich,Wolfsburg,Y,,,,,58,2-0,Diego Benaglio,Thomas Müller,,,,,
321,2016-12-10,Bundesliga,Matchweek 14,Home,Bayern Munich,Wolfsburg,Y,,,,,22,1-0,Diego Benaglio,,,,,,
322,2016-12-06,Champions Lg,Group stage,Home,Bayern Munich,Atlético Madrid,Y,,,,,28,0-0,Jan Oblak,,,,,,
323,2016-12-02,Bundesliga,Matchweek 13,Away,Bayern Munich,Mainz 05,Y,,,,,90+1,2-1,Jonas Lössl,,,,,,
324,2016-12-02,Bundesliga,Matchweek 13,Away,Bayern Munich,Mainz 05,Y,,,,,8,0-1,Jonas Lössl,Arjen Robben,,,,,
,,,,,,,,,,,,,,,,,,,,
325,2016-11-11,WCQ,First round,Away,Poland,Romania,Y*,,,,,90+1,2-0,Ciprian Tătărușanu,,,,,,
326,2016-11-11,WCQ,First round,Away,Poland,Romania,Y*,,,,,82,1-0,Ciprian Tătărușanu,Łukasz Teodorczyk,,,,,
,,,,,,,,,,,,,,,,,,,,
327,2016-11-01,Champions Lg,Group stage,Away,Bayern Munich,PSV Eindhoven,Y,,,,,74,1-1,Remko Pasveer,David Alaba,,,,,
328,2016-11-01,Champions Lg,Group stage,Away,Bayern Munich,PSV Eindhoven,Y,,,,,34,0-1,Remko Pasveer,,,,,,
329,2016-10-29,Bundesliga,Matchweek 9,Away,Bayern Munich,Augsburg,Y,,,,,48,2-0,Marwin Hitz,Arjen Robben,,,,,
330,2016-10-29,Bundesliga,Matchweek 9,Away,Bayern Munich,Augsburg,Y,,,,,19,0-0,Marwin Hitz,Arjen Robben,,,,,
331,2016-10-19,Champions Lg,Group stage,Home,Bayern Munich,PSV Eindhoven,Y,,,,,59,2-1,Jeroen Zoet,Arjen Robben,,,,,
,,,,,,,,,,,,,,,,,,,,
332,2016-10-11,WCQ,First round,Home,Poland,Armenia,Y*,,,,,90+5,1-1,Arsen Beglaryan,Jakub Błaszczykowski,,,,,
333,2016-10-08,WCQ,First round,Home,Poland,Denmark,Y*,,,,,48,2-0,Kasper Schmeichel,,,,,,
334,2016-10-08,WCQ,First round,Home,Poland,Denmark,Y*,,,,,36,1-0,Kasper Schmeichel,,,,,,
335,2016-10-08,WCQ,First round,Home,Poland,Denmark,Y*,,,,,20,0-0,Kasper Schmeichel,Kamil Grosicki,,,,,
,,,,,,,,,,,,,,,,,,,,
336,2016-09-17,Bundesliga,Matchweek 3,Home,Bayern Munich,Ingolstadt 04,Y,,,,,12,0-1,Ørjan Nyland,Franck Ribéry,,,,,
337,2016-09-13,Champions Lg,Group stage,Home,Bayern Munich,Rostov,Y,,,,,28,0-0,Soslan Dzhanayev,,,,,,
338,2016-09-09,Bundesliga,Matchweek 2,Away,Bayern Munich,Schalke 04,Y,,,,,81,0-0,Ralf Fährmann,Javi Martínez,,,,,
,,,,,,,,,,,,,,,,,,,,
339,2016-09-04,WCQ,First round,Away,Poland,Kazakhstan,Y*,,,,,35,1-0,Stas Pokatilov,,,,,,
,,,,,,,,,,,,,,,,,,,,
340,2016-08-26,Bundesliga,Matchweek 1,Home,Bayern Munich,Werder Bremen,Y,,,,,77,5-0,Felix Wiedwald,,,,,,
341,2016-08-26,Bundesliga,Matchweek 1,Home,Bayern Munich,Werder Bremen,Y,,,,,46,2-0,Felix Wiedwald,Thomas Müller,,,,,
342,2016-08-26,Bundesliga,Matchweek 1,Home,Bayern Munich,Werder Bremen,Y,,,,,13,1-0,Felix Wiedwald,Franck Ribéry,,,,,
343,2016-08-19,DFB-Pokal,First round,Away,Bayern Munich,Carl Zeiss Jena,Y,,,,,43,2-0,Raphael Koczor,Franck Ribéry,,,,,
344,2016-08-19,DFB-Pokal,First round,Away,Bayern Munich,Carl Zeiss Jena,Y,,,,,34,1-0,Raphael Koczor,,,,,,
345,2016-08-19,DFB-Pokal,First round,Away,Bayern Munich,Carl Zeiss Jena,Y,,,,,3,0-0,Raphael Koczor,Thomas Müller,,,,,
,,,,,,,,,,,,,,,,,,,,
346,2016-06-30,UEFA Euro,Quarter-finals,Neutral,Poland,Portugal,Y*,,,,,2,0-0,Rui Patrício,Kamil Grosicki,,,,,
,,,,,,,,,,,,,,,,,,,,
347,2016-05-14,Bundesliga,Matchweek 34,Home,Bayern Munich,Hannover 96,Y,,,,,12,0-0,Ron-Robert Zieler,,,,,,
348,2016-05-07,Bundesliga,Matchweek 33,Away,Bayern Munich,Ingolstadt 04,Y,,,,,32,1-0,Ramazan Özcan,Xabi Alonso,,,,,
349,2016-05-07,Bundesliga,Matchweek 33,Away,Bayern Munich,Ingolstadt 04,Y,,,,,15,0-0,Ramazan Özcan,,,,,,
350,2016-05-03,Champions Lg,Semi-finals,Home,Bayern Munich,Atlético Madrid,Y,,,,,74,1-1,Jan Oblak,Arturo Vidal,,,,,
351,2016-04-16,Bundesliga,Matchweek 30,Home,Bayern Munich,Schalke 04,Y,,,,,65,1-0,Ralf Fährmann,Rafinha,,,,,
352,2016-04-16,Bundesliga,Matchweek 30,Home,Bayern Munich,Schalke 04,Y,,,,,54,0-0,Ralf Fährmann,Arturo Vidal,,,,,
353,2016-03-19,Bundesliga,Matchweek 27,Away,Bayern Munich,Köln,Y,,,,,10,0-0,Timo Horn,,,,,,
354,2016-03-16,Champions Lg,Round of 16,Home,Bayern Munich,Juventus,Y,,,,,73,0-2,Gianluigi Buffon,Douglas Costa,,,,,
355,2016-03-12,Bundesliga,Matchweek 26,Home,Bayern Munich,Werder Bremen,N,,,,,86,3-0,Felix Wiedwald,,,,,,
356,2016-02-27,Bundesliga,Matchweek 23,Away,Bayern Munich,Wolfsburg,Y,,,,,74,1-0,Koen Casteels,Franck Ribéry,,,,,
357,2016-02-20,Bundesliga,Matchweek 22,Home,Bayern Munich,Darmstadt 98,Y,,,,,84,2-1,Christian Mathenia,Franck Ribéry,,,,,
358,2016-02-14,Bundesliga,Matchweek 21,Away,Bayern Munich,Augsburg,Y,,,,,62,1-0,Marwin Hitz,Thiago Alcántara,,,,,
359,2016-02-14,Bundesliga,Matchweek 21,Away,Bayern Munich,Augsburg,Y,,,,,15,0-0,Marwin Hitz,Thomas Müller,,,,,
360,2016-02-10,DFB-Pokal,Quarter-finals,Away,Bayern Munich,Bochum,Y,,,,,90,2-0,Manuel Riemann,Arjen Robben,,,,,
361,2016-02-10,DFB-Pokal,Quarter-finals,Away,Bayern Munich,Bochum,Y,,,,,38,0-0,Manuel Riemann,Thomas Müller,,,,,
362,2016-01-31,Bundesliga,Matchweek 19,Home,Bayern Munich,Hoffenheim,Y,,,,,64,1-0,Oliver Baumann,Philipp Lahm,,,,,
363,2016-01-31,Bundesliga,Matchweek 19,Home,Bayern Munich,Hoffenheim,Y,,,,,32,0-0,Oliver Baumann,Douglas Costa,,,,,
364,2016-01-22,Bundesliga,Matchweek 18,Away,Bayern Munich,Hamburger SV,Y,,,,,61,1-1,René Adler,Thomas Müller,,,,,
365,2016-01-22,Bundesliga,Matchweek 18,Away,Bayern Munich,Hamburger SV,Y,,,,,37,0-0,René Adler,,,,,,
366,2015-12-12,Bundesliga,Matchweek 16,Home,Bayern Munich,Ingolstadt 04,Y,,,,,65,0-0,Ramazan Özcan,Jérôme Boateng,,,,,
367,2015-12-09,Champions Lg,Group stage,Away,Bayern Munich,Dinamo Zagreb,Y,,,,,64,1-0,Eduardo Carvalho,Sebastian Rode,,,,,
368,2015-12-09,Champions Lg,Group stage,Away,Bayern Munich,Dinamo Zagreb,Y,,,,,61,0-0,Eduardo Carvalho,Philipp Lahm,,,,,
369,2015-11-24,Champions Lg,Group stage,Home,Bayern Munich,Olympiacos,Y,,,,,16,1-0,Roberto,Kingsley Coman,,,,,
,,,,,,,,,,,,,,,,,,,,
370,2015-11-13,Friendlies (M),Friendlies (M),Home,Poland,Iceland,Y,,,,,78,3-2,Ögmundur Kristinsson,,,,,,
371,2015-11-13,Friendlies (M),Friendlies (M),Home,Poland,Iceland,Y,,,,,76,2-2,Ögmundur Kristinsson,,,,,,
,,,,,,,,,,,,,,,,,,,,
372,2015-11-07,Bundesliga,Matchweek 12,Home,Bayern Munich,Stuttgart,Y,,,,,37,2-0,Przemysław Tytoń,,,,,,
373,2015-11-04,Champions Lg,Group stage,Home,Bayern Munich,Arsenal,Y,,,,,10,0-0,Petr Čech,Thiago Alcántara,,,,,
374,2015-10-24,Bundesliga,Matchweek 10,Home,Bayern Munich,Köln,Y,,,,,62,2-0,Timo Horn,Douglas Costa,,,,,
,,,,,,,,,,,,,,,,,,,,
375,2015-10-11,Euro Qualifying,Group stage,Home,Poland,Rep. of Ireland,Y*,,,,,42,1-1,Darren Randolph,Krzysztof Mączyński,,,,,
376,2015-10-08,Euro Qualifying,Group stage,Away,Poland,Scotland,Y*,,,,,90+4,1-2,David Marshall,,,,,,
377,2015-10-08,Euro Qualifying,Group stage,Away,Poland,Scotland,Y*,,,,,3,0-0,David Marshall,Arkadiusz Milik,,,,,
,,,,,,,,,,,,,,,,,,,,
378,2015-10-04,Bundesliga,Matchweek 8,Home,Bayern Munich,Dortmund,Y,,,,,58,3-1,Roman Bürki,Mario Götze,,,,,
379,2015-10-04,Bundesliga,Matchweek 8,Home,Bayern Munich,Dortmund,Y,,,,,46,2-1,Roman Bürki,Jérôme Boateng,,,,,
380,2015-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dinamo Zagreb,Y,,,,,55,4-0,Eduardo Carvalho,,,,,,
381,2015-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dinamo Zagreb,Y,,,,,28,3-0,Eduardo Carvalho,Douglas Costa,,,,,
382,2015-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dinamo Zagreb,Y,,,,,21,1-0,Eduardo Carvalho,Thiago Alcántara,,,,,
383,2015-09-26,Bundesliga,Matchweek 7,Away,Bayern Munich,Mainz 05,Y,,,,,63,1-0,Loris Karius,Arturo Vidal,,,,,
384,2015-09-26,Bundesliga,Matchweek 7,Away,Bayern Munich,Mainz 05,Y,,,,,51,0-0,Loris Karius,Kingsley Coman,,,,,
385,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,60,4-1,Diego Benaglio,Mario Götze,,,,,
386,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,57,3-1,Diego Benaglio,,,,,,
387,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,55,2-1,Diego Benaglio,,,,,,
388,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,52,1-1,Diego Benaglio,Douglas Costa,,,,,
389,2015-09-22,Bundesliga,Matchweek 6,Home,Bayern Munich,Wolfsburg,N,,,,,51,0-1,Diego Benaglio,,,,,,
390,2015-09-12,Bundesliga,Matchweek 4,Home,Bayern Munich,Augsburg,Y,,,,,77,0-1,Marwin Hitz,,,,,,
,,,,,,,,,,,,,,,,,,,,
391,2015-09-07,Euro Qualifying,Group stage,Home,Poland,Gibraltar,Y*,,,,,29,3-0,Jordan Perez,Arkadiusz Milik,,,,,
392,2015-09-07,Euro Qualifying,Group stage,Home,Poland,Gibraltar,Y*,,,,,18,2-0,Jordan Perez,Krzysztof Mączyński,,,,,
393,2015-09-04,Euro Qualifying,Group stage,Away,Poland,Germany,Y*,,,,,36,0-2,Manuel Neuer,Kamil Grosicki,,,,,
,,,,,,,,,,,,,,,,,,,,
394,2015-08-22,Bundesliga,Matchweek 2,Away,Bayern Munich,Hoffenheim,N,,,,,90,1-1,Oliver Baumann,Mario Götze,,,,,
395,2015-08-14,Bundesliga,Matchweek 1,Home,Bayern Munich,Hamburger SV,Y,,,,,53,1-0,René Adler,,,,,,
396,2015-08-09,DFB-Pokal,First round,Away,Bayern Munich,Nöttingen,Y,,,,,26,2-1,Robin Kraski,,,,,,
,,,,,,,,,,,,,,,,,,,,
397,2015-06-13,Euro Qualifying,Group stage,Home,Poland,Georgia,Y*,,,,,90+3,3-0,Giorgi Loria,,,,,,
398,2015-06-13,Euro Qualifying,Group stage,Home,Poland,Georgia,Y*,,,,,90+2,2-0,Giorgi Loria,Jakub Błaszczykowski,,,,,
399,2015-06-13,Euro Qualifying,Group stage,Home,Poland,Georgia,Y*,,,,,89,1-0,Giorgi Loria,Arkadiusz Milik,,,,,
,,,,,,,,,,,,,,,,,,,,
400,2015-05-23,Bundesliga,Matchweek 34,Home,Bayern Munich,Mainz 05,Y,,,,,25,0-0,Loris Karius,,,,,,
401,2015-05-12,Champions Lg,Semi-finals,Home,Bayern Munich,Barcelona,Y,,,,,59,1-2,Marc-André ter Stegen,Bastian Schweinsteiger,,,,,
402,2015-04-28,DFB-Pokal,Semi-finals,Home,Bayern Munich,Dortmund,Y,,,,,30,0-0,Mitchell Langerak,,,,,,
403,2015-04-21,Champions Lg,Quarter-finals,Home,Bayern Munich,Porto,Y,,,,,40,4-0,,Thomas Müller,,,,,
404,2015-04-21,Champions Lg,Quarter-finals,Home,Bayern Munich,Porto,Y,,,,,27,2-0,,Thomas Müller,,,,,
405,2015-04-11,Bundesliga,Matchweek 28,Home,Bayern Munich,Eint Frankfurt,Y,,,,,66,1-0,Kevin Trapp,,,,,,
406,2015-04-11,Bundesliga,Matchweek 28,Home,Bayern Munich,Eint Frankfurt,Y,,,,,15,0-0,Kevin Trapp,Thomas Müller,,,,,
407,2015-04-04,Bundesliga,Matchweek 27,Away,Bayern Munich,Dortmund,Y,,,,,36,0-0,Roman Weidenfeller,,,,,,
408,2015-03-14,Bundesliga,Matchweek 25,Away,Bayern Munich,Werder Bremen,Y,,,,,90+1,3-0,Raphael Wolf,Thomas Müller,,,,,
409,2015-03-14,Bundesliga,Matchweek 25,Away,Bayern Munich,Werder Bremen,Y,,,,,76,2-0,Raphael Wolf,Thomas Müller,,,,,
410,2015-03-11,Champions Lg,Round of 16,Home,Bayern Munich,Shakhtar,Y,,,,,75,5-0,Andriy Pyatov,Bastian Schweinsteiger,,,,,
411,2015-02-27,Bundesliga,Matchweek 23,Home,Bayern Munich,Köln,Y,,,,,75,3-1,Timo Horn,Arjen Robben,,,,,
412,2015-02-21,Bundesliga,Matchweek 22,Away,Bayern Munich,Paderborn 07,Y,,,,,37,1-0,Lukas Kruse,Franck Ribéry,,,,,
413,2015-02-21,Bundesliga,Matchweek 22,Away,Bayern Munich,Paderborn 07,Y,,,,,24,0-0,Lukas Kruse,Arjen Robben,,,,,
414,2015-02-14,Bundesliga,Matchweek 21,Home,Bayern Munich,Hamburger SV,Y,,,,,56,5-0,Jaroslav Drobný,Thomas Müller,,,,,
415,2014-12-13,Bundesliga,Matchweek 15,Away,Bayern Munich,Augsburg,Y,,,,,68,2-0,Alex Manninger,Bastian Schweinsteiger,,,,,
416,2014-11-25,Champions Lg,Group stage,Away,Bayern Munich,Manchester City,Y,,,,,45,1-1,Joe Hart,Jérôme Boateng,,,,,
417,2014-11-22,Bundesliga,Matchweek 12,Home,Bayern Munich,Hoffenheim,Y,,,,,40,1-0,Oliver Baumann,Arjen Robben,,,,,
418,2014-11-01,Bundesliga,Matchweek 10,Home,Bayern Munich,Dortmund,Y,,,,,72,0-1,Roman Weidenfeller,,,,,,
419,2014-10-29,DFB-Pokal,Second round,Away,Bayern Munich,Hamburger SV,Y,,,,,7,0-0,Jaroslav Drobný,,,,,,
420,2014-10-21,Champions Lg,Group stage,Away,Bayern Munich,Roma,Y,,,,,25,2-0,Morgan De Sanctis,Juan Bernat,,,,,
421,2014-10-04,Bundesliga,Matchweek 7,Home,Bayern Munich,Hannover 96,Y,,,,,38,2-0,Ron-Robert Zieler,Xherdan Shaqiri,,,,,
422,2014-10-04,Bundesliga,Matchweek 7,Home,Bayern Munich,Hannover 96,Y,,,,,6,0-0,Ron-Robert Zieler,Rafinha,,,,,
423,2014-09-23,Bundesliga,Matchweek 5,Home,Bayern Munich,Paderborn 07,Y,,,,,14,1-0,Lukas Kruse,Philipp Lahm,,,,,
,,,,,,,,,,,,,,,,,,,,
424,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,90+2,6-0,Jordan Perez,Filip Starzyński,,,,,
425,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,86,5-0,Jordan Perez,Maciej Rybus,,,,,
426,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,53,3-0,Jordan Perez,Maciej Rybus,,,,,
427,2014-09-07,Euro Qualifying,Group stage,Away,Poland,Gibraltar,Y*,,,,,50,2-0,Jordan Perez,Jakub Wawrzyniak,,,,,
,,,,,,,,,,,,,,,,,,,,
