Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
51,2022-01-07,Bundesliga,Matchweek 18,Home,Bayern Munich,M'Gladbach,Y,0.11,0.33,Right Foot,13,18,0-0,Yann Sommer,Thomas Müller,Thomas Müller,Pass (Live),Serge Gnabry,Pass (Live),
52,2021-12-17,Bundesliga,Matchweek 17,Home,Bayern Munich,Wolfsburg,Y,0.52,0.67,Left Foot,9,87,3-0,Koen Casteels,Jamal Musiala,Jamal Musiala,Pass (Live),Dayot Upamecano,Pass (Live),Volley
53,2021-12-14,Bundesliga,Matchweek 16,Away,Bayern Munich,Stuttgart,Y,0.58,0.89,Right Foot,6,72,3-0,Florian Müller,Serge Gnabry,Serge Gnabry,Pass (Live),Niklas Süle,Pass (Live),
54,2021-12-14,Bundesliga,Matchweek 16,Away,Bayern Munich,Stuttgart,Y,0.13,0.56,Right Foot,14,69,2-0,Florian Müller,Serge Gnabry,Robert Lewandowski,Take-On,Serge Gnabry,Pass (Live),
55,2021-12-04,Bundesliga,Matchweek 14,Away,Bayern Munich,Dortmund,Y,0.79,0.99,Right Foot,13,77,2-2,Gregor Kobel,,,Fouled,Kingsley Coman,Pass (Live),
56,2021-12-04,Bundesliga,Matchweek 14,Away,Bayern Munich,Dortmund,Y,0.31,0.87,Right Foot,14,9,0-1,Gregor Kobel,Thomas Müller,Robert Lewandowski,Take-On,,,
57,2021-11-23,Champions Lg,Group stage,Away,Bayern Munich,Dynamo Kyiv,Y,0.32,0.61,Right Foot,13,14,0-0,Heorhii Bushchan,,Benjamin Pavard,Shot,,,Volley
58,2021-11-19,Bundesliga,Matchweek 12,Away,Bayern Munich,Augsburg,Y,0.17,0.70,Right Foot,11,38,0-2,Rafał Gikiewicz,Thomas Müller,Thomas Müller,Pass (Live),Benjamin Pavard,Pass (Live),Volley
,,,,,,,,,,,,,,,,,,,,
59,2021-11-12,WCQ,First round,Away,Poland,Andorra,Y*,,,,,73,3-1,Iker Álvarez,Piotr Zieliński,,,,,
60,2021-11-12,WCQ,First round,Away,Poland,Andorra,Y*,,,,,5,0-0,Iker Álvarez,Kamil Jóźwiak,,,,,
,,,,,,,,,,,,,,,,,,,,
61,2021-11-06,Bundesliga,Matchweek 11,Home,Bayern Munich,Freiburg,Y,0.85,0.96,Right Foot,3,75,1-0,Mark Flekken,Leroy Sané,Leroy Sané,Shot,,,
62,2021-11-02,Champions Lg,Group stage,Home,Bayern Munich,Benfica,Y,0.22,0.37,Right Foot,19,84,4-2,Odisseas Vlachodimos,Manuel Neuer,Manuel Neuer,Pass (Live),Marcel Sabitzer,Pass (Live),
63,2021-11-02,Champions Lg,Group stage,Home,Bayern Munich,Benfica,Y,0.71,0.90,Right Foot,10,61,3-1,Odisseas Vlachodimos,Leroy Sané,Robert Lewandowski,Take-On,Leroy Sané,Pass (Live),
64,2021-11-02,Champions Lg,Group stage,Home,Bayern Munich,Benfica,Y,0.67,0.89,Head,2,26,0-0,Odisseas Vlachodimos,Kingsley Coman,Kingsley Coman,Pass (Live),Kingsley Coman,Take-On,
65,2021-10-30,Bundesliga,Matchweek 10,Away,Bayern Munich,Union Berlin,Y,0.06,0.41,Right Foot,21,23,1-0,Andreas Luthe,Thomas Müller,Thomas Müller,Pass (Live),Joshua Kimmich,Pass (Dead),
66,2021-10-30,Bundesliga,Matchweek 10,Away,Bayern Munich,Union Berlin,Y,0.79,0.99,Right Foot,13,15,0-0,Andreas Luthe,,,Fouled,Leroy Sané,Shot,
67,2021-10-23,Bundesliga,Matchweek 9,Home,Bayern Munich,Hoffenheim,Y,0.06,0.41,Right Foot,26,30,1-0,Oliver Baumann,Thomas Müller,Thomas Müller,Pass (Live),Robert Lewandowski,Pass (Live),
68,2021-10-20,Champions Lg,Group stage,Away,Bayern Munich,Benfica,Y,0.85,0.98,Left Foot,1,82,2-0,Odisseas Vlachodimos,Leroy Sané,Leroy Sané,Pass (Live),Leroy Sané,Shot,
69,2021-10-17,Bundesliga,Matchweek 8,Away,Bayern Munich,Leverkusen,Y,0.20,0.49,Right Foot,10,30,1-0,Lukáš Hrádecký,Alphonso Davies,Leroy Sané,Pass (Live),Joshua Kimmich,Pass (Live),
70,2021-10-17,Bundesliga,Matchweek 8,Away,Bayern Munich,Leverkusen,Y,0.53,0.90,Right Foot,5,3,0-0,Lukáš Hrádecký,Dayot Upamecano,Dayot Upamecano,Pass (Live),Joshua Kimmich,Pass (Dead),Volley
71,2021-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dynamo Kyiv,Y,0.29,0.36,Right Foot,16,27,1-0,Heorhii Bushchan,Thomas Müller,Thomas Müller,Pass (Live),Niklas Süle,Pass (Live),
72,2021-09-29,Champions Lg,Group stage,Home,Bayern Munich,Dynamo Kyiv,Y,0.79,0.97,Right Foot,13,12,0-0,Heorhii Bushchan,,,Fouled,Robert Lewandowski,Shot,
