,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
160,Hamlet,1948,J. Arthur Rank-Two Cities Films,Winner,1948,154,Drama,7.6,"16,167","Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier's ""Hamlet"" continues to be the most compelling version of Shakespeare's beloved tragedy. Olivier is at his most inspired - both as director and as the melancholy Dane himself - as he breathes new life into the words of one of the world's greatest dramatists.","Classics, Drama","A well-executed labor of love from star and director Laurence Olivier, Hamlet not only proved that Shakespeare could be successfully adapted to the big screen, it paved the way for further cinematic interpretations.",NR,Laurence Olivier,"Laurence Olivier, Alan Dent","Laurence Olivier, Jean Simmons, Eileen Herlie, Basil Sydney, Norman Wooland, Felix Aylmer, Terence Morgan, Peter Cushing, Stanley Holloway, John Laurie, Esmond Knight, Anthony Quayle, Niall MacGinnis, Harcourt Williams, Russell Thorndike, Patrick Troughton, Tony Tarver, Anthony Bushell, Christopher Lee, Patrick Macnee, John Gielgud",1948-05-04,2017-03-23,Universal,Certified-Fresh,95.0,40.0,Upright,80.0,7542.0,8.0,38.0,2.0,443109e2-d3c6-4b1d-9bec-3c732801d861
161,Johnny Belinda,1948,Warner Bros.,Nominee,1948,102,Drama,7.8,"4,549","In this acclaimed drama, Belinda McDonald (Jane Wyman), a young deaf-mute woman living off the coast of Canada on Cape Breton Island, becomes close to the new local doctor, Robert Richardson (Lew Ayres). When Belinda is raped by a customer at her family's farm and becomes pregnant, many suspect Dr. Richardson. Seeking to start over in a new location with Belinda, he leaves town to find a new home, but more conflicts ensue, further jeopardizing their happiness.","Classics, Drama",,NR,Jean Negulesco,"Allen Vincent, Irma von Cube","Jane Wyman, Lew Ayres, Charles Bickford, Agnes Moorehead, Stephen McNally, Dan Seymour, Mabel Paige, Rosalind Ivan, Jan Sterling, Ida Moore, Alan Napier, Monte Blue, Douglas Kennedy, James Craven, Jeff Richards, Richard Walsh, Joan Winfield, Ian Wolfe, Holmes Herbert, Jonathan Hale, Ray Montgomery, Creighton Hale, Frederic Worlock, Franklin Farnum, Barbara Bates, Blayney Lewis, Charles Horvath, 'Snub' Pollard",1948-09-14,2016-11-21,Warner Bros. Pictures,Fresh,89.0,9.0,Upright,88.0,1429.0,0.0,8.0,1.0,45588422-6266-430e-b2e1-292fbf12e238
162,The Red Shoes,1948,J. Arthur Rank-Archers,Nominee,1948,135,"Drama,Music,Romance",8.1,"32,804","In this classic drama, Vicky Page (Moira Shearer) is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov (Anton Walbrook), urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster (Marius Goring). Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.","Classics, Drama, Musical & Performing Arts, Romance","The Red Shoes is one of the best-looking movies ever, and blends multiple moods and styles with balletic grace.",R,"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger, Keith Winter","Moira Shearer, Anton Walbrook, Marius Goring, Leonide Massine, Robert Helpmann, Albert Basserman, Esmond Knight, Ludmilla Tchérina, Jean Short, Gordon Littman, Julia Lang, Bill Shine, Austin Trevor, Eric Berry, Emeric Pressburger, Irene Browne, Jerry Verno, Derek Elphinstone, Albert Bassermann, Mme. Rambert, Joy Rawlins, Marcel Poncin, Michel Bazalgette, Yvonne Andre, George Woodbridge, Hay Petrie, Denis Carey, Joan Harris, Robert Dorning, Guy Massey",1948-09-06,2017-03-23,Eagle-Lion Films,Certified-Fresh,97.0,59.0,Upright,92.0,11766.0,16.0,57.0,2.0,75ddd507-9137-452e-b08c-89cbb2297bd8
163,The Snake Pit,1948,20th Century-Fox,Nominee,1948,108,"Drama,Mystery",7.6,"7,232","In this psychological drama, Virginia Cunningham (Olivia de Havilland) is confused upon finding herself in a mental hospital, with no memory of her arrival at the institution. Tormented by delusions and unable to even recognize her husband, Robert (Mark Stevens), she is treated by Dr. Mark Kik (Leo Genn), who is determined to get to the root of her mental illness. As her treatment progresses, flashbacks depict events in Virginia's life that may have contributed to her instability.","Classics, Drama, Mystery & Suspense",,NR,Anatole Litvak,"Frank Partos, Millen Brand","Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm, Glenn Langan, Helen Craig, Leif Erickson, Beulah Bondi, Lee Patrick, Isabel Jewell, Victoria Horne, Tamara Shayne, Grace Poggi, Howard Freeman, Natalie Schafer, Ruth Donnelly, Katherine Locke, Frank Conroy, Minna Gombell, June Storey, Ann Doran, Damian O'Flynn, Lora Lee Michel, Esther Somers, Jacqueline de Wit, Betsy Blair, Lela Bliss, Virginia Brissac, Queenie Smith, Mae Marsh, Ashley Cowan, Sally Shepherd, Geraldine Garrick, Therese Lyon, Sylvia Andrew, Jeri Jordan, Marie Blake, Ellen Lowe, Minerva Urecal, Barbara Pepper, Jan Clayton, Helen Servis, Celia Lovsky, Lester Sharpe, Mary Treen, Victoria Albright, Dorothy Neumann, Marion Marshall, Grayce Hampton, Syd Saylor",1948-11-04,2013-01-01,20th Century Fox Film Corporation,Fresh,100.0,8.0,Upright,83.0,2656.0,2.0,8.0,0.0,894290ac-2b55-458e-b4b6-c5978fc487c7
164,The Treasure of the Sierra Madre,1948,Warner Bros.,Nominee,1948,126,"Adventure,Drama,Western",8.2,"119,133","In this classic adventure film, two rough-and-tumble wanderers, Dobbs (Humphrey Bogart) and Curtin (Tim Holt), meet up with a veteran prospector, Howard (Walter Huston), in Mexico and head into the Sierra Madre mountains to find gold. Although they discover treasure, they also find plenty of trouble, not only from ruthless bandits lurking in the dangerous Mexican wilderness but from their own insecurities and greed, which threaten to bring conflict at any moment.","Action & Adventure, Classics, Drama, Western","Remade but never duplicated, this darkly humorous morality tale represents John Huston at his finest.",NR,John Huston,John Huston,"Humphrey Bogart, Tim Holt, Walter Huston, Alfonso Bedoya, Bruce Bennett, Barton MacLane, Arturo Soto Rangel, Manuel Donde, José Torvay, Margarito Luna, Jacqueline Dalya, Robert Blake, Spencer Chan, Julian Rivero, John Huston, Harry J. Vejar, Pat Flaherty, Clifton Young, Ralph Dunn, Jack Holt, Guillermo Calleo, Ildefonso Vega, Francisco Islas, Alberto Valdespino, Mario Abraham Mancilla, Ann Sheridan, Martin Garralaga, Ignacio Villabajo, Roberto Canedo, Ernesto Escoto",1948-01-07,2015-05-08,WARNER BROTHERS PICTURES,Certified-Fresh,100.0,49.0,Upright,93.0,26122.0,5.0,49.0,0.0,76320732-9fe8-40c8-9532-bf16a4b45483
165,All the King's Men,1949,Columbia,Winner,1949,110,"Drama,Film-Noir",7.5,"14,270","Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren.","Classics, Drama",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,Robert Rossen,"Robert Rossen, Robert Penn Warren","Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru, John Ireland, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes, H.C. Miller, Richard Hale, William Bruce, A.C. Tillman, Houseley Stevenson Sr., Truett Myers, Phil Tully, Helene Stanley, Judd Holdren, King Donovan, Paul Ford, Ted French, Louis Mason, Paul Maxey, John 'Skins' Miller, Pat O'Malley, Frank Wilcox",1949-11-08,2013-05-01,Sony Pictures Home Entertainment,Certified-Fresh,95.0,42.0,Upright,78.0,4866.0,9.0,40.0,2.0,80c1f8b9-36f0-4648-9103-1a27b4b15d6f
166,Battleground,1949,Metro-Goldwyn-Mayer,Nominee,1949,118,"Action,Drama,History",7.5,"6,970","Members of the U.S. Army's 101st Airborne Division are fighting for their country amidst the rugged terrain of Bastogne, Belgium, in December 1944. Holley (Van Johnson) and his American compatriots have already seen one of their own, Roderigues (Ricardo Montalban), perish under enemy fire. The men try to rebuff another series of Nazi attacks, but what they really need is a change in the weather. Without clear skies, they'll never get the air support they need.","Action & Adventure, Classics, Drama",,NR,William Wellman,Robert Pirosh,"Van Johnson, Ricardo Montalban, John Hodiak, George Murphy, James Whitmore, Douglas Fowley, Jerome Courtland, Leon Ames, Richard Jaeckel, Don Taylor, James Arness, Bruce Cowling, Scotty Beckett, Marshall Thompson, Herbert Anderson, Thomas E. Breen, Denise Darcel, Brett King, Ian MacDonald, 101st Airborne, Screaming Eagles, Edmon Ryan, Michael Brown, Roland Varno",1949-11-09,2008-08-18,MGM,Fresh,75.0,8.0,Upright,82.0,2737.0,1.0,6.0,2.0,8e1fd126-bcd3-4f20-bfa7-54bcc056dfe8
167,The Heiress,1949,Paramount,Nominee,1949,115,"Drama,Romance",8.2,"14,871",,,,,,,,,,,,,,,,,,,,27cd281b-e5bd-4b05-9634-8557891a9593
168,A Letter to Three Wives,1949,20th Century-Fox,Nominee,1949,103,"Drama,Romance",7.7,"9,000","Deborah Bishop, Lora Mae Hollingsway and Rita Phipps are three friends who all receive letters from another friend, Addie Ross, telling them that she is about to leave town with one of their husbands. Deborah, Lora Mae and Rita have to find out which of their spouses, Brad, Porter and George respectively, have been unfaithful.","Classics, Comedy, Drama, Mystery & Suspense, Romance",,NR,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Vera Caspary","Jeanne Crain, Ann Sothern, Linda Darnell, Kirk Douglas, Paul Douglas, Thelma Ritter, Barbara Lawrence, Jeffrey Lynn, Connie Gilchrist, Florence Bates, Hobart Cavanaugh, Patti Brady, Ruth Vivian, Stuart Holmes, George Offerman, George Offerman Jr., Ralph Brooks, James Adamson, Joe Bautista, John Davidson, Carl ""Alfalfa"" Switzer, John Venn, Ted Offenbecker, Sam Finn, Celeste Holm",1949-01-20,2015-11-25,Fox,Fresh,94.0,18.0,Upright,86.0,3781.0,2.0,17.0,1.0,2c905a08-03f0-45e6-91e7-a9c9bc17826d
169,Twelve O'Clock High,1949,20th Century-Fox,Nominee,1949,132,"Drama,War",7.7,"13,989","In 1942, an American Air Force unit stationed in England is plagued with morale problems until no-nonsense Brigadier General Frank Savage (Gregory Peck) assumes command. His tough leadership is initially resented by not only his pilots but his second-in-command (Hugh Marlowe), a West Point graduate and son of a general. But, with the help of a hotshot flying ace (Robert Patten) and a sympathetic administrator (Dean Jagger), the unit pulls together into a gung-ho fighting crew.","Action & Adventure, Classics, Drama","Twelve O'Clock High is a high-stakes, high-tension war drama powered by great, well-written characters.",NR,Henry King,"Beirne Lay, Lt. Beirne Lay Jr., Sy Bartlett","Gregory Peck, Hugh Marlowe, Dean Jagger, Gary Merrill, Millard Mitchell, Robert Arthur, Paul Stewart, John Kellogg, Robert Patten, Lee MacGregor, Sam Edwards, Roger Anderson, John Zilly, William Short, Richard Anderson, Lawrence Dobkin, Kenneth Tobey, Campbell Copelin, Don Guadagno, Peter Ortiz, Steve Clark, Joyce Mackenzie, Patrick Whyte, Don Hicks, Ray Hyke, Harry Lauter, John R. McKee, Leslie Denison, Russ Conway",1949-01-01,2017-03-13,Twentieth Century Fox Home Entertainment,Fresh,96.0,25.0,Upright,87.0,6019.0,5.0,24.0,1.0,1a47efdd-746d-4c28-bd9f-15d2553c73ae
170,All About Eve,1950,20th Century-Fox,Winner,1950,138,Drama,8.2,"125,426","Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.","Classics, Drama","Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",PG,Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Gary Merrill, George Sanders, Celeste Holm, Hugh Marlowe, Thelma Ritter, Marilyn Monroe, Gregory Ratoff, Barbara Bates, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Bess Flowers, Ed Fisher, Steve Geray",1950-01-01,2015-11-25,20th Century Fox,Certified-Fresh,99.0,77.0,Upright,94.0,45248.0,22.0,76.0,1.0,95920d24-3ce7-41e7-bf13-35f70fa38da1
171,Born Yesterday,1950,Columbia,Nominee,1950,103,"Comedy,Drama,Romance",7.6,"10,597","Brassy blonde moll Billie Dawn (Judy Holliday) hits Washington, D.C., with her unscrupulous millionaire sugar daddy, Harry Brock (Broderick Crawford), and his sleazy lawyer, Jim Devery (Howard St. John), who has been pressuring Harry to marry Billie by pointing out that a wife cannot be forced to testify against her husband. In an effort to make Billie more socially acceptable, Harry hires journalist Paul Verrall (William Holden) to smarten her up -- and sparks soon fly between the pair.","Classics, Comedy, Drama","Marrying screwball romance with political satire, Born Yesterday is a substantive romp with a ferociously smart performance by Judy Holliday as an uncouth bombshell.",NR,George Cukor,Albert Mannheimer,"Judy Holliday, Broderick Crawford, William Holden, Howard St. John, Frank Otto, Larry Oliver, Barbara Brown, Grandon Rhodes, Claire Carleton, Smoki Whitfield, David Pardon, Helen Eby-Rock, William Mays, David Pardoll, Mike Mahoney, John Morley, Paul Marion, Ram Singh, Charles Cane",1950-12-26,2013-01-01,Columbia Pictures,Fresh,97.0,34.0,Upright,86.0,4780.0,6.0,33.0,1.0,7e8fd405-833d-4bba-821c-88f3601017a2
172,Father of the Bride,1950,Metro-Goldwyn-Mayer,Nominee,1950,92,"Comedy,Romance",7.2,"10,742","When beautiful Kay Banks (Elizabeth Taylor) announces her engagement to Buckley Dunstan (Don Taylor), her doting middle-class father, Stan (Spencer Tracy), must contend with a variety of problems, ranging from money issues to wedding planning difficulties. As things get hectic, Stan's wife, Ellie (Joan Bennett), tries to be the calm in the center of the storm. At the heart of the comedy, though, is Stan's emotional tie to his little girl, and his realization that she has indeed grown up.","Classics, Comedy, Drama","With a terrific script, great performances from Spencer Tracy and Elizabeth Taylor, and assured direction from Vincent Minnelli, Father of the Bride endures as a sparkling comedy of its era.",G,Vincente Minnelli,"Frances Goodrich, Albert Hackett","Spencer Tracy, Elizabeth Taylor, Joan Bennett, Don Taylor, Billie Burke, Leo G Carroll, Moroni Olsen, Melville Cooper, Russ Tamblyn, Taylor Holmes, Paul Harvey, Frank Orth, Tom Irish, Marietta Canty, Willard Waterman, Nancy Valentine, Mary Jane Smith, Jacqueline Duval, Fay Baker, Frank Hyers, Chris Drake, Floyd Taylor, Don Anderson, William Mahon, Walter C. Kelly, Peter Thompson, Carleton Carpenter, Brad Hatton, Lucille Barnes, Erin Selwyn, Janet Fay, Wendy Waldron, Douglas Spencer, Boyd Davis, Oliver Blake, William E. Green, Frank Cady, Roger Moore, Mickey McCardle, Sherry Hall, Harry Dean Stanton, Ella Ethridge, William Bailey, Dorothy Phillips, Stuart Holmes, Anne Kunde, Fred Santley, Philo McCullough, Harry Stanton, Lucille Curtis, Estelle Etterre, Peggy Leon, Betty Farrington, Lillian Bronson, Aileen Carlyle, Thomas Browne Henry, Mickey Golden, Gene Coogan, Lee Phelps, Tom Browne Henry, Patricia Miller, Paul Maxey, Frank Richards, William Haade, Jeff York, Dewey Robinson, Edward Gargan, Ralph Peters, Dick Wessel, Richard Alexander, Joe Brown Jr., Jim Hayward, Gil Perkins, Bradford Hatton, John Welsh, William 'Bill' Phillips",1950-01-01,2009-01-01,MGM,Fresh,90.0,31.0,Upright,74.0,13901.0,6.0,28.0,3.0,f83ea7fe-8013-4f13-bda4-4458c4d177e1
173,King Solomon's Mines,1950,Metro-Goldwyn-Mayer,Nominee,1950,103,"Action,Adventure,Romance",6.8,"5,929","A rescue party sets out to find an explorer who has disappeared on an African treasure hunt. The search leads the party across the continent and through the terrors of jungle, swamp and desert. Their ultimate destination is the fabled lost mine of Solomon, a source of unimaginable wealth and deadly danger. From H. Rider Haggard's novel.","Action & Adventure, Classics, Drama",,G,"Compton Bennett, Andrew Marton","Helen Deutsch, Compton Bennett, Andrew Marton","Stewart Granger, Deborah Kerr, Richard Carlson, Hugo Haas, Lowell Gilmore, Siriaque, Kimursi, Sekaryongo, Baziga, Corp. Munto Anampio, Gutare, Ivargwema, Andrew Marton, Benempinga, John Banner, Henry Rowland, Skeryongo",1950-11-24,2012-04-16,MGM Home Entertainment,Fresh,92.0,12.0,Spilled,59.0,3242.0,0.0,11.0,1.0,da749acb-0277-4941-93b2-54dda27d75fb
174,Sunset Boulevard,1950,Paramount,Nominee,1950,110,"Drama,Film-Noir",8.4,"210,129","An aging silent film queen refuses to accept that her stardom has ended. She hires a young screenwriter to help set up her movie comeback. The screenwriter believes he can manipulate her, but he soon finds out he is wrong. The screenwriters ambivalence about their relationship and her unwillingness to let go leads to a situation of violence, madness, and death.","Classics, Drama","Arguably the greatest movie about Hollywood, Billy Wilder's masterpiece Sunset Boulevard is a tremendously entertaining combination of noir, black comedy, and character study.",G,Billy Wilder,"D.M. Marshman, Jr., Charles Brackett, Billy Wilder","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Franklin Farnum, Franklyn Farnum, Charles Dayton, Cecil B. DeMille, Buster Keaton, Hedda Hopper, Anna Q. Nilsson, H.B. Warner, Sidney Skolsky, Ray Evans, Creighton Hale, Jay Livingston, Bernice Mosk, Larry Blake, Eddie Dew, Billy Sheehan, Archie Twitchell, Roy Thompson Jr., Peter Drynan, Ruth Clifford, Bert Moorhouse, E. Mason Hopper, Kenneth Gibson, Yvette Vickers, Virginia Randolph, Gertrude Astor, Frank O'Connor, Eva Novak, Al Ferguson, Stan Johnson, Bill Sheehan, Julia Faye, Gertrude Messinger, Ralph Montgomery, John 'Skins' Miller, John Cortay, Robert Emmett O'Connor, Gerry Ganzer, Gertrude Messenger, Tommy Ivo, Robert E. O'Connor, Emmett E. Smith, Ottola Nesmith, Jay Morley, Howard Negley, Ken Christy, Len Hendry, Arthur Lane, Archie R. Dalzell, James Hawley, Edward Wahrman, Sanford E. Greenwald, Howard Joslin, Larry J. Blake",1950-08-04,2016-08-10,Paramount Pictures,Certified-Fresh,99.0,69.0,Upright,95.0,53464.0,12.0,68.0,1.0,ed6d6f9d-2b4e-495e-bdfc-4b3c4f96ee5a
175,An American in Paris,1951,Arthur Freed,Winner,1951,114,"Drama,Musical,Romance",7.2,"31,953","Jerry Mulligan (Gene Kelly) is an American ex-GI who stays in post-war Paris to become a painter, and falls for the gamine charms of Lise Bouvier (Leslie Caron). However, his paintings come to the attention of Milo Roberts, a rich American heiress, who is interested in more than just art.","Classics, Musical & Performing Arts, Romance","The plot may be problematic, but such concerns are rendered superfluous by Gene Kelly and Leslie Caron's star power, the Gershwins' classic songs, and Vincente Minnelli's colorful, sympathetic direction.",G,Vincente Minnelli,"Alan Jay Lerner, Vincente Minnelli","Gene Kelly, Maurice Chevalier, Leslie Caron, Louis Jourdan, Oscar Levant, Nina Foch, Hermione Gingold, Georges Guétary, Eva Gabor, Eugene Borden, Martha Bamattre, Mary Young, Ann Codee, George Davis, Mary Jones, Hayden Rorke, Madge Blake, Paul Maxey, Dick Wessel, Nan Boardman, Andre Charisse, Art Dupuis, John Eldredge, Jeanne Lafayette, Greg McClure, Noel Neill, Anna Q. Nilsson, Alfred Paix, Don Quinn, Alex Romero",1951-10-04,2008-08-15,MGM,Certified-Fresh,96.0,68.0,Upright,79.0,26460.0,14.0,65.0,3.0,11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
176,Decision Before Dawn,1951,Anatole Litvak and Frank McCarthy,Nominee,1951,119,"Drama,War",7.2,"2,596","During World War II, an American intelligence unit led by Col. Devlin (Gary Merrill) is recruiting German prisoners of war to infiltrate enemy lines and gather vital information. Lt. Rennick (Richard Basehart) heads a unit of Germans that includes the mistrustful ""Tiger"" (Hans Christian Blech) and the wide-eyed ""Happy"" (Oskar Werner). When word arrives that a German general is about to negotiate the surrender of his corps, Devlin sends Rennick and his volunteers on a dangerous mission.","Action & Adventure, Classics, Drama, Mystery & Suspense",,NR,Anatole Litvak,Peter Viertel,"Richard Basehart, Oskar Werner, Gary Merrill, Hildegarde Neff, Dominique Blanchar, O.E. Hasse, Wilfried Seyferth, Hans Christian Blech, Helene Thimig, Robert Freytag, George Tyne, Adolph Lodel, Arno Assmann, Loni Heuser, Walter Janssen, Erich Ebert, Ruth Brandt, Liselotte Kirschbaum, Eva Marie Andres, Aguste Hansen-Kleinmichel, Peter Martin Urtel, Otto Friebel, Paul Schwed, Karl Malden, Meta Weber, Henriett Speidel, Ingeborg Luther, Almut Bachmann, Ruth Trumpp, Harold Benedict, Egon Lippert, Gerhard Kittler, Robert Freitag, Rainier Geldern, Klaus Kinski, von Schmidel, Arnulf Schroeder, Bert Brandt, Erik Jelde, Max Herbst, Klaus Krause, Alex Hohenlohe, Jasper Gertzen, Ulrich Volkmar, Hans Mohrhard, Kurt Marquardt, Jochen Diestelmann, Luitpold Kummer, Heinrich Berg, Dieter Wilsing, Elfe Gearhart, Rudolf Heimann, Werner Fuetterer, Lieselotte Steinweg, Elizabeth Millberg, Ulla Best, Katja Jobs, Eva Maria Hoppe, Maria Landrock, Sonja Kosta, Ernst Hoechstaetter, Harald Wolff, Wolfgang Kuhnemann, Walter Ladengast, Gerhard Steinberg, Peter Lühr, Maria Wimmer, Ursula Voss, Clemens Wilmenrod",1951-12-21,2016-02-10,20th Century Fox Film Corporation,Fresh,100.0,6.0,Upright,71.0,341.0,2.0,6.0,0.0,1d36e03f-db5b-44e6-8cba-9c914bcb72f0
177,A Place in the Sun,1951,George Stevens,Nominee,1951,122,"Drama,Romance",7.8,"21,429","In this classic version of Theodore Dreiser's novel ""An American Tragedy,"" George Eastman (Montgomery Clift), the nephew of a wealthy industrialist, is excluded from high society and given a blue-collar job at his uncle's factory. While ascending the ranks of the company, George becomes romantically involved with co-worker Alice Tripp (Shelley Winters). However, when he is introduced to socialite Angela Vickers (Elizabeth Taylor), he quickly falls for her, leading to a tragic love triangle.","Classics, Drama, Romance","Director George Stevens' stately treatment of A Place in the Sun buffs out some of the novel's nuance with blunt moralizing, but riveting performances by Montgomery Clift and company give the drama a bruising punch.",NR,George Stevens,"Michael Wilson, Harry Brown","Elizabeth Taylor, Montgomery Clift, Shelley Winters, Raymond Burr, Keefe Brasselle, Fred Clark, Anne Revere, Herbert Heyes, Herbert Hayes, Shepperd Strudwick, Frieda Inescort, Kathryn Givney, Walter Sande, Ted de Corsia, John Ridgely, Lois Chartand, Lois Chartrand, William Murphy, Douglas Spencer, Charles Dayton, Paul H. Frees, Josephine Whittell, Frank Yaconelli, Ralph Dunn, Bob Anderson, Mary Kent, Lisa Golm, Billy Sheehan, Ezelle Poule, Jay Morley, Kathleen Freeman, Scott Wallace, Eric Wilton, Al Ferguson, Gertrude Astor, Lulu Mae Bohrman, Robert Anderson, Sam Harris, Harold McNulty, Ian Wolfe, Carmencita Johnson, Marilyn Dialon, John Reed, Kasey Rogers, Philip Kieffer, James Horne Jr., James W. Horne, Mike Mahoney, Hans Moebus, Ken Christy, Pearl Miller, Robert Malcolm Young, Len Hendry, Frank Hyers, Ed O'Neill, Frances Driver, Lee Miller, Bill Sheehan, Mike Pat Donovan, Joe Recht, Martin Mason, Jim Horne, Louise Lane, Cliff Storey, Harold Miller, Pat Combs, Marion Gray, Ann Frederick, La Verne 'Sonny' Howe, Dolores Hall",1951-08-15,2014-06-06,Paramount Pictures,Fresh,77.0,31.0,Upright,84.0,8530.0,9.0,24.0,7.0,4ca1818a-9d22-4a5e-884e-4f892a2232ed
178,Quo Vadis,1951,Sam Zimbalist,Nominee,1951,171,"Biography,Drama,History",7.2,"14,371",,,,,,,,,,,,,,,,,,,,493704e4-edf5-493c-ba97-ff530fe7332f
179,A Streetcar Named Desire,1951,Charles K. Feldman,Nominee,1951,122,Drama,8.0,"103,781","Based on the play by Tennessee Williams, this renowned drama follows troubled former schoolteacher Blanche DuBois (Vivien Leigh) as she leaves small-town Mississippi and moves in with her sister, Stella Kowalski (Kim Hunter), and her husband, Stanley (Marlon Brando), in New Orleans. Blanche's flirtatious Southern-belle presence causes problems for Stella and Stanley, who already have a volatile relationship, leading to even greater conflict in the Kowalski household.","Classics, Drama","A feverish rendition of a heart-rending story, A Streetcar Named Desire gives Tennessee Williams' stage play explosive power on the screen thanks to Elia Kazan's searing direction and a sterling ensemble at the peak of their craft.",PG,Elia Kazan,"Tennessee Williams, Oscar Saul","Marlon Brando, Vivien Leigh, Karl Malden, Kim Hunter, Rudy Bond, Nick Dennis, Peg Hillias, Wright King, Richard Garrick, Ann Dere, Edna Thomas, Mickey Kuhn, Chester Jones, Marietta Canty, Lyle Latell, Charles Wagenheim, Maxie Thrower, Mel Archer",1951-09-19,2013-10-02,Warner Bros. Pictures,Certified-Fresh,98.0,60.0,Upright,90.0,55148.0,13.0,59.0,1.0,2c848e08-0362-4305-b9c6-b52b3210b998
180,The Greatest Show on Earth,1952,Cecil B. DeMille,Winner,1952,152,"Drama,Family,Romance",6.6,"13,797","""The Greatest Show on Earth"" is a dazzling spectacle of life behind the scenes with Ringling Bros.-Barnum and Bailey Circus, the best three-ring circus in the land. Celebrates the extravagant three-ring circus and depicts the passionate scenes of love and jealousy behind the greatest show on Earth.","Classics, Drama, Kids & Family, Romance","The Greatest Show on Earth is melodramatic, short on plot, excessively lengthy and bogged down with clichés, but not without a certain innocent charm.",NR,Cecil B. DeMille,"Fredric M. Frank, Barré Lyndon, Theodore St. John, Frank Cavett","Betty Hutton, Cornel Wilde, Charlton Heston, James Stewart, Dorothy Lamour, Gloria Grahame, Henry Wilcoxon, Kyle Bettger, Lawrence Tierney, John Kellogg, Lyle Bettger, Iphigenie Castiglioni, John Ridgely, Frank Wilcox, Bob Carson, Lillian Albertson, Julia Faye, Gloria Drew, Anthony Marsh, Bruce Cameron, Noel Neill, Charmienne Harker, Dorothy Crider, Patricia Michon, Vicki Bakken, Gay McEldowney, Riccardo Cucciolla, Hugh Prosser, Russ Conklin, John Crawford, Claude Dunkin, Keith Richards (II), Rosemary Dvorak, Lorna Jordan, Mona Knox, Gertrude Messinger, John Parrish, William Hall, Brad Johnson, William J. Riley, Robert W. Rushing, Adele Cook Johnson, Lane Chandler, Erik L. Nelson, Howard Negley, Eric Nielsen, Beverly Washburn, Syd Saylor, Lester Dorr, Milton Kibbee, Fred Kohler Jr., Greta Granstedt, Mary Field, Kathleen Freeman, Ross Bagdasarian Sr., Edmond O'Brien, Jimmie Dundee, Dale Van Sickel, William Boyd, Bing Crosby, Bob Hope, Mona Freeman, Tuffy Genders, Brad Hatton, Ethan Laidlaw, Stanley Andrews, Lydia Clarke, John Merton, Bradford Hatton, Herbert C. Lytton, Norman Field, Everett Glass, Lee Aaker, Nancy Gates, Ken Christy, Clarence Nash, Bess Flowers, Lou Jacobs, Felix Adler, Paul Jung, Dolores Hall, Robert St. Angelo, Davison Clark, Dorothy Adams, Ottola Nesmith, David Newell, Josephine Whittell, Emmett Kelly Jr., John Ringling North, Cucciola, Antoinette Concello",1952-02-21,2014-06-06,Paramount Pictures,Rotten,42.0,31.0,Spilled,54.0,6192.0,8.0,13.0,18.0,cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
