Season,Episode,Rating,Title,Directed_by,Written_by,Viewers
3,20,7.9,Seinfeld,NA,NA,NA
3,21,8.2,Seinfeld,NA,NA,NA
3,22,8.3,Seinfeld,NA,NA,NA
4,1,8.1,Seinfeld,NA,NA,NA
4,2,8.3,Seinfeld,NA,NA,NA
4,3,8.6,Seinfeld,NA,NA,NA
4,4,8.2,Seinfeld,NA,NA,NA
4,5,8,Seinfeld,NA,NA,NA
4,6,8,Seinfeld,NA,NA,NA
4,7,8.7,Seinfeld,NA,NA,NA
4,8,8.5,Seinfeld,NA,NA,NA
4,9,8.2,Seinfeld,NA,NA,NA
4,10,8.1,Seinfeld,NA,NA,NA
4,11,9.5,Seinfeld,NA,NA,NA
4,12,8.9,Seinfeld,NA,NA,NA
4,13,8.5,Seinfeld,NA,NA,NA
4,14,8.1,Seinfeld,NA,NA,NA
4,15,8,Seinfeld,NA,NA,NA
4,16,8.1,Seinfeld,NA,NA,NA
4,17,9.4,Seinfeld,NA,NA,NA
4,18,8,Seinfeld,NA,NA,NA
4,19,8.6,Seinfeld,NA,NA,NA
4,20,8.7,Seinfeld,NA,NA,NA
4,21,8.4,Seinfeld,NA,NA,NA
4,22,8.3,Seinfeld,NA,NA,NA
4,23,8.6,Seinfeld,NA,NA,NA
5,1,8.6,Seinfeld,NA,NA,NA
5,2,8.9,Seinfeld,NA,NA,NA
5,3,8.4,Seinfeld,NA,NA,NA
5,4,8.1,Seinfeld,NA,NA,NA
5,5,8.1,Seinfeld,NA,NA,NA
5,6,8.4,Seinfeld,NA,NA,NA
5,7,8.4,Seinfeld,NA,NA,NA
5,8,8.3,Seinfeld,NA,NA,NA
5,9,7.8,Seinfeld,NA,NA,NA
5,10,8.4,Seinfeld,NA,NA,NA
5,11,8.1,Seinfeld,NA,NA,NA
5,12,8.6,Seinfeld,NA,NA,NA
5,13,8.2,Seinfeld,NA,NA,NA
5,14,9.2,Seinfeld,NA,NA,NA
5,15,8.5,Seinfeld,NA,NA,NA
5,16,7.6,Seinfeld,NA,NA,NA
5,17,8,Seinfeld,NA,NA,NA
5,18,8.4,Seinfeld,NA,NA,NA
5,19,8.1,Seinfeld,NA,NA,NA
5,20,8.6,Seinfeld,NA,NA,NA
5,21,9,Seinfeld,NA,NA,NA
5,22,9.5,Seinfeld,NA,NA,NA
6,1,8,Seinfeld,NA,NA,NA
6,2,8.1,Seinfeld,NA,NA,NA
6,3,8.2,Seinfeld,NA,NA,NA
6,4,8.1,Seinfeld,NA,NA,NA
6,5,8.1,Seinfeld,NA,NA,NA
6,6,8.2,Seinfeld,NA,NA,NA
6,7,8.1,Seinfeld,NA,NA,NA
6,8,8.1,Seinfeld,NA,NA,NA
6,9,8.1,Seinfeld,NA,NA,NA
6,10,8.9,Seinfeld,NA,NA,NA
6,11,8.9,Seinfeld,NA,NA,NA
6,12,8.5,Seinfeld,NA,NA,NA
6,13,8,Seinfeld,NA,NA,NA
6,14,7,Seinfeld,NA,NA,NA
6,15,8.2,Seinfeld,NA,NA,NA
6,16,8.2,Seinfeld,NA,NA,NA
6,17,8.2,Seinfeld,NA,NA,NA
6,18,8.9,Seinfeld,NA,NA,NA
6,19,8.2,Seinfeld,NA,NA,NA
6,20,8.7,Seinfeld,NA,NA,NA
6,21,8.1,Seinfeld,NA,NA,NA
6,22,8.4,Seinfeld,NA,NA,NA
6,23,7.9,Seinfeld,NA,NA,NA
7,1,8.6,Seinfeld,NA,NA,NA
7,2,8.2,Seinfeld,NA,NA,NA
7,3,8.1,Seinfeld,NA,NA,NA
7,4,8.6,Seinfeld,NA,NA,NA
7,5,8.6,Seinfeld,NA,NA,NA
7,6,9.5,Seinfeld,NA,NA,NA
7,7,8.4,Seinfeld,NA,NA,NA
7,8,8.3,Seinfeld,NA,NA,NA
7,9,8.3,Seinfeld,NA,NA,NA
7,10,8.6,Seinfeld,NA,NA,NA
7,11,8.8,Seinfeld,NA,NA,NA
7,12,8.6,Seinfeld,NA,NA,NA
7,13,8.1,Seinfeld,NA,NA,NA
7,14,8.5,Seinfeld,NA,NA,NA
7,15,8.4,Seinfeld,NA,NA,NA
7,16,8.1,Seinfeld,NA,NA,NA
7,17,7.7,Seinfeld,NA,NA,NA
7,18,8.1,Seinfeld,NA,NA,NA
7,19,8.8,Seinfeld,NA,NA,NA
7,20,8.6,Seinfeld,NA,NA,NA
7,21,8.3,Seinfeld,NA,NA,NA
7,22,8.6,Seinfeld,NA,NA,NA
8,1,8.1,Seinfeld,NA,NA,NA
8,2,8,Seinfeld,NA,NA,NA
8,3,9.1,Seinfeld,NA,NA,NA
8,4,8.9,Seinfeld,NA,NA,NA
8,5,8.6,Seinfeld,NA,NA,NA
8,6,8,Seinfeld,NA,NA,NA
8,7,8.1,Seinfeld,NA,NA,NA
8,8,8.9,Seinfeld,NA,NA,NA
8,9,9,Seinfeld,NA,NA,NA
8,10,8.4,Seinfeld,NA,NA,NA
8,11,8.3,Seinfeld,NA,NA,NA
8,12,7.7,Seinfeld,NA,NA,NA
8,13,8.5,Seinfeld,NA,NA,NA
8,14,8,Seinfeld,NA,NA,NA
8,15,8.6,Seinfeld,NA,NA,NA
8,16,8.6,Seinfeld,NA,NA,NA
8,17,8.5,Seinfeld,NA,NA,NA
8,18,8.7,Seinfeld,NA,NA,NA
8,19,9,Seinfeld,NA,NA,NA
8,20,8.1,Seinfeld,NA,NA,NA
8,21,8.4,Seinfeld,NA,NA,NA
8,22,8.5,Seinfeld,NA,NA,NA
9,1,8.4,Seinfeld,NA,NA,NA
9,2,8.4,Seinfeld,NA,NA,NA
9,3,8.8,Seinfeld,NA,NA,NA
9,4,8.2,Seinfeld,NA,NA,NA
9,5,8,Seinfeld,NA,NA,NA
9,6,9,Seinfeld,NA,NA,NA
9,7,8.4,Seinfeld,NA,NA,NA
9,8,8.9,Seinfeld,NA,NA,NA
9,9,8.2,Seinfeld,NA,NA,NA
9,10,8.7,Seinfeld,NA,NA,NA
9,11,8.4,Seinfeld,NA,NA,NA
9,12,8.2,Seinfeld,NA,NA,NA
9,13,7.9,Seinfeld,NA,NA,NA
9,14,8,Seinfeld,NA,NA,NA
9,15,7.9,Seinfeld,NA,NA,NA
9,16,8.3,Seinfeld,NA,NA,NA
9,17,8.2,Seinfeld,NA,NA,NA
9,18,8.7,Seinfeld,NA,NA,NA
9,19,8,Seinfeld,NA,NA,NA
9,20,7.9,Seinfeld,NA,NA,NA
9,21,7.7,Seinfeld,NA,NA,NA
9,22,7.8,Seinfeld,NA,NA,NA
1,1,8.2,Friends,James Burrows,"David Crane , Marta Kauffman",21500000
1,2,7.9,Friends,James Burrows,"David Crane , Marta Kauffman",20200000
1,3,8,Friends,James Burrows,"Jeffrey Astrof , Mike Sikowitz",19500000
1,4,8,Friends,James Burrows,Alexa Junge,19700000
1,5,8.3,Friends,Pamela Fryman,"Jeff Greenstein , Jeff Strauss",18600000
1,6,8,Friends,Arlene Sanford,"Adam Chase , Ira Ungerleider",18200000
1,7,8.9,Friends,James Burrows,"Jeffrey Astrof , Mike Sikowitz",23500000
1,8,8,Friends,James Burrows,"Marta Kauffman , David Crane",21100000
1,9,8.1,Friends,James Burrows,"Jeff Greenstein , Jeff Strauss",23100000
1,10,7.9,Friends,Peter Bonerz,"Adam Chase , Ira Ungerleider",19900000
1,11,8.1,Friends,James Burrows,Alexa Junge,26600000
1,12,8.1,Friends,Paul Lazarus,"Jeffrey Astrof , Mike Sikowitz , Adam Chase , Ira Ungerleider",2.4e+07
1,13,8.5,Friends,Alan Myerson,Alexa Junge,25800000
1,14,8.1,Friends,James Burrows,Bill Lawrence,23800000
1,15,8.1,Friends,Alan Myerson,"Jeff Greenstein , Jeff Strauss",24800000
1,16,8,Friends,Michael Lembeck,"Marta Kauffman , David Crane",26100000
1,17,8.4,Friends,Michael Lembeck,"Marta Kauffman , David Crane",30500000
1,18,8.7,Friends,James Burrows,"Jeffrey Astrof , Mike Sikowitz",30400000
1,19,8,Friends,Peter Bonerz,"Jeffrey Astrof , Mike Sikowitz",29400000
1,20,7.7,Friends,Peter Bonerz,Doty Abrams,3e+07
1,21,7.7,Friends,Gail Mancuso,"Adam Chase , Ira Ungerleider",28400000
1,22,8.2,Friends,Robby Benson,Alexa Junge,29900000
1,23,8.6,Friends,James Burrows,"Story by: David Crane , Marta KauffmanTeleplay by: Jeff Greenstein , Jeff Strauss",28700000
1,24,8.8,Friends,Kevin S. Bright,Chris Brown,31300000
2,1,8.4,Friends,Michael Lembeck,"Jeffrey Astrof , Mike Sikowitz",32100000
2,2,8.1,Friends,Michael Lembeck,"Adam Chase , Ira Ungerleider",29800000
2,3,8.2,Friends,Kevin S. Bright,"Michael Curtis , Gregory S. Malins",30200000
2,4,7.8,Friends,Gail Mancuso,Alexa Junge,28100000
2,5,8.1,Friends,Ellen Gittelsohn,Chris Brown,28300000
2,6,8.5,Friends,Gail Mancuso,Betsy Borns,30200000
2,7,8.9,Friends,Peter Bonerz,Michael Borkow,30500000
2,8,8.4,Friends,Mary Kay Place,"David Crane , Marta Kauffman",32900000
2,9,7.8,Friends,Kevin S. Bright,"Jeffrey Astrof , Mike Sikowitz",27800000
2,10,7.9,Friends,Thomas Schlamme,Ira Ungerleider,32200000
2,11,8,Friends,Thomas Schlamme,Doty Abrams,31600000
2,12,8.5,Friends,Michael Lembeck,"Jeffrey Astrof , Mike Sikowitz",52900000
2,13,8.7,Friends,Michael Lembeck,Michael Borkow,52900000
2,14,9.3,Friends,James Burrows,Alexa Junge,33600000
2,15,8.8,Friends,Michael Lembeck,"Michael Curtis , Gregory S. Malins",32900000
2,16,8.5,Friends,Michael Lembeck,Betsy Borns,31100000
2,17,8.1,Friends,Michael Lembeck,Adam Chase,30200000
2,18,8.3,Friends,Michael Lembeck,Story by: Alexa JungeTeleplay by: Michael Borkow,30100000
2,19,8.4,Friends,Michael Lembeck,"Michael Curtis , Gregory S. Malins",31200000
2,20,8,Friends,Michael Lembeck,"Story by: Michael Curtis , Gregory S. MalinsTeleplay by: Adam Chase",27400000
2,21,8,Friends,Michael Lembeck,"Brian Buckner , Sebastian Jones",24700000
2,22,8.9,Friends,Michael Lembeck,Alexa Junge,25500000
2,23,7.9,Friends,Michael Lembeck,Brown Mandell,26100000
2,24,8.1,Friends,Michael Lembeck,Story by: Ira UngerleiderTeleplay by: Brown Mandell,2.9e+07
3,1,8.3,Friends,Gail Mancuso,"Michael Curtis , Gregory S. Malins",26760000
3,2,8.9,Friends,Gail Mancuso,Ira Ungerleider,26730000
3,3,7.9,Friends,Kevin S. Bright,Wil Calhoun,25230000
3,4,7.9,Friends,Steve Zuckerman,Alexa Junge,26100000
3,5,8,Friends,Steve Zuckerman,"Shana Goldberg-Meehan , Scott Silveri",23250000
3,6,9,Friends,Peter Bonerz,"David Crane , Marta Kauffman",23270000
3,7,8.2,Friends,Gail Mancuso,Seth Kurland,27360000
3,8,8.2,Friends,Gail Mancuso,Adam Chase,28690000
3,9,8.9,Friends,Kevin S. Bright,Ira Ungerleider,29280000
3,10,8,Friends,Terry Hughes,"Gregory S. Malins , Michael Curtis",25100000
3,11,8.4,Friends,Terry Hughes,Alexa Junge,29800000
3,12,8.1,Friends,Robby Benson,Doty Abrams,29610000
3,13,8.1,Friends,Robby Benson,Michael Borkow,28030000
3,14,7.7,Friends,Robby Benson,Wil Calhoun,28910000
3,15,8.4,Friends,James Burrows,Michael Borkow,27250000
3,16,9,Friends,James Burrows,"David Crane , Marta Kauffman",28260000
3,17,8.2,Friends,Sam Simon,"Shana Goldberg-Meehan , Scott Silveri",25840000
3,18,8.3,Friends,Robby Benson,Seth Kurland,28070000
3,19,8,Friends,Terry Hughes,Adam Chase,23650000
3,20,8,Friends,Terry Hughes,Wil Calhoun,24360000
3,21,8.6,Friends,Michael Lembeck,Chris Brown,23220000
3,22,8.1,Friends,Peter Bonerz,"Shana Goldberg-Meehan , Scott Silveri",22630000
3,23,7.9,Friends,Shelley Jensen,"Ted Cohen , Andrew Reich",24170000
3,24,8,Friends,Robby Benson,"Story by: Pang-Ni Landrum , Mark KunerthTeleplay by: Shana Goldberg-Meehan , Scott Silveri",23070000
3,25,8.7,Friends,Pamela Fryman,"Story by: Pang-Ni Landrum , Mark KunerthTeleplay by: Adam Chase",23390000
4,1,9,Friends,Shelley Jensen,Wil Calhoun,29430000
4,2,7.9,Friends,Shelley Jensen,"Jill Condon , Amy Toomin",25540000
4,3,8.4,Friends,Peter Bonerz,Seth Kurland,23980000
4,4,8.1,Friends,Gail Mancuso,"Ted Cohen , Andrew Reich",24310000
4,5,8.3,Friends,Gail Mancuso,"Gregory S. Malins , Michael Curtis",24350000
4,6,8.4,Friends,Shelley Jensen,"Shana Goldberg-Meehan , Scott Silveri",25680000
4,7,8.6,Friends,Kevin S. Bright,Adam Chase,26350000
4,8,9,Friends,Peter Bonerz,Michael Borkow,26760000
4,9,7.7,Friends,Peter Bonerz,"Ted Cohen , Andrew Reich",23890000
4,10,7.9,Friends,Gary Halvorson,Scott Silveri,23220000
4,11,8.4,Friends,David Steinberg,Seth Kurland,23660000
4,12,9.4,Friends,Kevin S. Bright,"Jill Condon , Amy Toomin",27140000
4,13,8.1,Friends,Dana DeVally Piazza,Shana Goldberg-Meehan,25270000
4,14,8.1,Friends,Peter Bonerz,Wil Calhoun,25080000
4,15,8.4,Friends,James Burrows,"Story by: Ted Cohen , Andrew ReichTeleplay by: Wil Calhoun",24440000
4,16,8.1,Friends,Michael Lembeck,"Story by: Alicia Sky VarinaitisTeleplay by: Scott Silveri , Shana Goldberg-Meehan",23130000
4,17,8.5,Friends,Michael Lembeck,Story by: Mark KunerthTeleplay by: Richard Goodman,23220000
4,18,8.1,Friends,Gail Mancuso,"Story by: Andrew Reich , Ted CohenTeleplay by: Jill Condon , Amy Toomin",21720000
4,19,8.6,Friends,Kevin S. Bright,"Scott Silveri , Wil Calhoun",21760000
4,20,8.4,Friends,Gail Mancuso,"Story by: Adam ChaseTeleplay by: Gregory S. Malins , Michael Curtis",21940000
4,21,7,Friends,Peter Bonerz,Seth Kurland,21510000
4,22,8.3,Friends,Peter Bonerz,"Story by: Seth KurlandTeleplay by: Gregory S. Malins , Michael Curtis",23150000
4,23,8.6,Friends,Kevin S. Bright,Michael Borkow,31610000
4,24,9.1,Friends,Kevin S. Bright,"Story by: Jill Condon , Amy Toomin Teleplay by: Shana Goldberg-Meehan , Scott Silveri",31610000
5,1,8.8,Friends,Kevin S. Bright,Seth Kurland,31120000
5,2,8.9,Friends,Gary Halvorson,Wil Calhoun,25360000
5,3,8.7,Friends,Kevin S. Bright,"David Crane , Marta Kauffman",26820000
5,4,8.1,Friends,Shelley Jensen,Michael Curtis,24090000
5,5,8.6,Friends,Dana DeVally Piazza,Scott Silveri,25870000
5,6,7.9,Friends,Gary Halvorson,Alexa Junge,24990000
5,7,8.2,Friends,Gary Halvorson,"Gigi McCreery , Perry Rein",24440000
5,8,9,Friends,Kevin S. Bright,Gregory S. Malins,23920000
5,9,9,Friends,Gary Halvorson,"Ted Cohen , Andrew Reich",23030000
5,10,8,Friends,Dana DeVally Piazza,Shana Goldberg-Meehan,23670000
5,11,9,Friends,Joe Regalbuto,Story by: Brian BoyleTeleplay by: Suzie Villandry,27020000
5,12,8.1,Friends,Kevin S. Bright,Alicia Sky Varinaitis,24820000
5,13,7.9,Friends,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,24920000
5,14,9.7,Friends,Michael Lembeck,Alexa Junge,27700000
5,15,8.4,Friends,Kevin S. Bright,Adam Chase,29310000
5,16,8.5,Friends,Andrew Tsao,"Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery , Perry Rein",26020000
5,17,8.4,Friends,Shelley Jensen,"Andrew Reich , Ted Cohen",24480000
5,18,7.8,Friends,Todd Holland,Michael Curtis,21880000
5,19,8.6,Friends,Gail Mancuso,Doty Abrams,20850000
5,20,8.1,Friends,Gary Halvorson,"Shana Goldberg-Meehan , Seth Kurland",19630000
5,21,8.3,Friends,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,20920000
5,22,8.1,Friends,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,21280000
5,23,8.7,Friends,Kevin S. Bright,"Ted Cohen , Andrew Reich",25900000
5,24,9,Friends,Kevin S. Bright,"Gregory S. Malins , Scott Silveri",25900000
6,1,8.6,Friends,Kevin S. Bright,Adam Chase,27740000
6,2,8.1,Friends,Gail Mancuso,Shana Goldberg-Meehan,22950000
6,3,8,Friends,Gary Halvorson,Seth Kurland,21600000
6,4,8.4,Friends,Gary Halvorson,"Andrew Reich , Ted Cohen",21070000
6,5,8,Friends,Gary Halvorson,"Perry Rein , Gigi McCreery",22390000
6,6,8.4,Friends,David Schwimmer,Scott Silveri,23590000
6,7,8.2,Friends,Gary Halvorson,"Sherry Bilsing-Graham , Ellen Plummer",22750000
6,8,8.4,Friends,Gary Halvorson,"Story by: Andrew Reich , Ted CohenTeleplay by: Perry Rein , Gigi McCreery",22140000
6,9,9.1,Friends,Kevin S. Bright,Gregory S. Malins,19170000
6,10,8.5,Friends,Kevin S. Bright,Brian Boyle,22430000
6,11,7.9,Friends,Kevin S. Bright,Story by: Zachary RosenblattTeleplay by: Brian Boyle,22260000
6,12,7.9,Friends,Gary Halvorson,"Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich , Ted Cohen",22330000
6,13,8.1,Friends,Gary Halvorson,"Story by: Seth KurlandTeleplay by: Sherry Bilsing-Graham , Ellen Plummer",24140000
6,14,8.4,Friends,Kevin S. Bright,"Andrew Reich , Ted Cohen",23820000
6,15,8.4,Friends,Michael Lembeck,"Gregory S. Malins , Adam Chase",25890000
6,16,8.4,Friends,Michael Lembeck,"David Crane , Marta Kauffman",25890000
6,17,9,Friends,Gary Halvorson,Story by: Zachary RosenblattTeleplay by: Adam Chase,22210000
6,18,8.2,Friends,Gary Halvorson,Seth Kurland,20520000
6,19,8.2,Friends,Ben Weiss,"Story by: Seth KurlandTeleplay by: Gigi McCreery , Perry Rein",21460000
6,20,7.2,Friends,Kevin S. Bright,Doty Abrams,18810000
6,21,8.5,Friends,Michael Lembeck,Story by: David J. LaganaTeleplay by: Scott Silveri,20630000
6,22,8.9,Friends,Gary Halvorson,"Story by: Brian CaldirolaTeleplay by: Sherry Bilsing-Graham , Ellen Plummer",20010000
6,23,8.5,Friends,Gary Halvorson,"Ted Cohen , Andrew Reich",20870000
6,24,8.6,Friends,Kevin S. Bright,"Shana Goldberg-Meehan , Scott Silveri",30730000
6,25,9.2,Friends,Kevin S. Bright,"Andrew Reich , Ted Cohen",30730000
7,1,8.3,Friends,Kevin S. Bright,"Story by: Wil CalhounTeleplay by: David Crane , Marta Kauffman",25540000
7,2,8.2,Friends,Michael Lembeck,"Andrew Reich , Ted Cohen",27930000
7,3,8,Friends,Gary Halvorson,"Sherry Bilsing , Ellen Plummer",22720000
7,4,7.9,Friends,David Schwimmer,Brian Boyle,22660000
7,5,7.9,Friends,Gary Halvorson,Story by: Earl DavisTeleplay by: Patty Lin,24430000
7,6,8.8,Friends,Gary Halvorson,"Brian Buckner , Sebastian Jones",22010000
7,7,8.4,Friends,David Schwimmer,Scott Silveri,23730000
7,8,8,Friends,Kevin S. Bright,Patty Lin,16570000
7,9,8,Friends,David Schwimmer,Wil Calhoun,21080000
7,10,8.4,Friends,Gary Halvorson,Gregory S. Malins,23260000
7,11,8.4,Friends,Gary Halvorson,Shana Goldberg-Meehan,24370000
7,12,8.5,Friends,Kevin S. Bright,Zachary Rosenblatt,22860000
7,13,8.3,Friends,Stephen Prime,"Story by: Ellen Plummer , Sherry BilsingTeleplay by: Brian Buckner , Sebastian Jones",22240000
7,14,8.5,Friends,Ben Weiss,"Story by: Vanessa McCarthyTeleplay by: Ellen Plummer , Sherry Bilsing",22400000
7,15,8.3,Friends,Kevin S. Bright,"Story by: Sherry Bilsing , Ellen PlummerTeleplay by: Andrew Reich , Ted Cohen",21750000
7,16,8.6,Friends,David Schwimmer,"Story by: Brian Buckner , Sebastian JonesTeleplay by: Zachary Rosenblatt",21220000
7,17,8.2,Friends,Kevin S. Bright,"Story by: Brian Buckner , Sebastian JonesTeleplay by: Andrew Reich , Ted Cohen",20840000
7,18,8.3,Friends,Gary Halvorson,"Story by: Sherry Bilsing , Ellen PlummerTeleplay by: Brian Boyle",17810000
7,19,8.6,Friends,Gary Halvorson,"Andrew Reich , Ted Cohen",16540000
7,20,8.2,Friends,Gary Halvorson,"Scott Silveri , Shana Goldberg-Meehan",16300000
7,21,7.2,Friends,Gary Halvorson,Doty Abrams,15650000
7,22,8.2,Friends,"Kevin S. Bright , Gary Halvorson","Story by: Gregory S. MalinsTeleplay by: Brian Buckner , Sebastian Jones",17230000
7,23,8.7,Friends,Kevin S. Bright,Gregory S. Malins,30050000
7,24,9.1,Friends,Kevin S. Bright,"Marta Kauffman , David Crane",30050000
8,1,8.6,Friends,Kevin S. Bright,"David Crane , Marta Kauffman",31700000
8,2,9,Friends,David Schwimmer,Dana Klein Borkow,30040000
8,3,8.6,Friends,Sheldon Epps,"Sherry Bilsing , Ellen Plummer",29200000
8,4,9.2,Friends,Kevin S. Bright,Scott Silveri,25580000
8,5,8,Friends,Gary Halvorson,"Brian Buckner , Sebastian Jones",25640000
8,6,8.4,Friends,Gary Halvorson,Mark Kunerth,26960000
8,7,7.7,Friends,Kevin S. Bright,R. Lee Fleming Jr.,24240000
8,8,8.6,Friends,David Schwimmer,"Andrew Reich , Ted Cohen",26540000
8,9,9.2,Friends,Gary Halvorson,Shana Goldberg-Meehan,24240000
8,10,7.9,Friends,Kevin S. Bright,"Story by: Robert CarlockTeleplay by: Brian Buckner , Sebastian Jones",22440000
8,11,7.9,Friends,Gary Halvorson,Robert Carlock,23850000
8,12,8.4,Friends,David Schwimmer,"Sherry Bilsing-Graham , Ellen Plummer",25530000
8,13,8.4,Friends,Ben Weiss,Vanessa McCarthy,29240000
8,14,8.1,Friends,Kevin S. Bright,"Brian Buckner , Sebastian Jones",28640000
8,15,8.2,Friends,Kevin S. Bright,Dana Klein Borkow,28640000
8,16,8.2,Friends,Ben Weiss,"Andrew Reich , Ted Cohen",27520000
8,17,7.9,Friends,Gary Halvorson,Story by: R. Lee Fleming Jr.Teleplay by: Steven Rosenhaus,26300000
8,18,8.1,Friends,Gary Halvorson,Story by: Peter TibbalsTeleplay by: Mark Kunerth,22050000
8,19,7.2,Friends,Gary Halvorson,Doty Abrams,22590000
8,20,8.1,Friends,Kevin S. Bright,"Sherry Bilsing-Graham , Ellen Plummer",22240000
8,21,8,Friends,Gary Halvorson,"Story by: Dana Klein BorkowTeleplay by: Brian Buckner , Sebastian Jones",23970000
8,22,8.2,Friends,Gary Halvorson,Shana Goldberg-Meehan,24310000
8,23,8.7,Friends,Kevin S. Bright,Scott Silveri,34910000
8,24,8.8,Friends,Kevin S. Bright,"Marta Kauffman , David Crane",34910000
9,1,8.5,Friends,Kevin S. Bright,"Sherry Bilsing-Graham , Ellen Plummer",34010000
9,2,8.4,Friends,Sheldon Epps,Dana Klein Borkow,28930000
9,3,8.1,Friends,Roger Christiansen,"Brian Buckner , Sebastian Jones",26620000
9,4,8,Friends,Ben Weiss,"Andrew Reich , Ted Cohen",25810000
9,5,8.4,Friends,David Schwimmer,Scott Silveri,24460000
9,6,8.2,Friends,Kevin S. Bright,"David Crane , Marta Kauffman",27510000
9,7,8.5,Friends,Gary Halvorson,Robert Carlock,25350000
9,8,8.7,Friends,Kevin S. Bright,Shana Goldberg-Meehan,26760000
9,9,8,Friends,Ben Weiss,Mark Kunerth,25420000
9,10,7.3,Friends,Kevin S. Bright,Doty Abrams,22280000
9,11,7.8,Friends,Gary Halvorson,Story by: Judd RubinTeleplay by: Peter Tibbals,23670000
9,12,7.8,Friends,Ben Weiss,"Story by: Dana Klein BorkowTeleplay by: Brian Buckner , Sebastian Jones",23660000
9,13,8,Friends,Gary Halvorson,"Story by: Sherry Bilsing-Graham , Ellen PlummerTeleplay by: Steven Rosenhaus",25820000
9,14,8.1,Friends,Gary Halvorson,"Sherry Bilsing-Graham , Ellen Plummer",23370000
9,15,8.2,Friends,Gary Halvorson,Peter Tibbals,20850000
9,16,8.1,Friends,Gary Halvorson,Mark Kunerth,19520000
9,17,8.3,Friends,Gary Halvorson,"Story by: Robert CarlockTeleplay by: Brian Buckner , Sebastian Jones",2.1e+07
9,18,8.5,Friends,Gary Halvorson,"Story by: Brian Buckner , Sebastian JonesTeleplay by: Sherry Bilsing-Graham , Ellen Plummer",20790000
9,19,8,Friends,Terry Hughes,Story by: Dana Klein BorkowTeleplay by: Mark Kunerth,18240000
9,20,8.1,Friends,Sheldon Epps,"Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich , Ted Cohen",20710000
9,21,8.1,Friends,Gary Halvorson,Story by: Scott SilveriTeleplay by: Robert Carlock,19030000
9,22,7.7,Friends,Ben Weiss,"Andrew Reich , Ted Cohen",19550000
9,23,8.4,Friends,Kevin S. Bright,"Shana Goldberg-Meehan , Scott Silveri",25460000
9,24,8.5,Friends,Kevin S. Bright,"Marta Kauffman , David Crane",25460000
10,1,8.4,Friends,Kevin S. Bright,"Andrew Reich , Ted Cohen",24540000
10,2,8.7,Friends,Ben Weiss,"Sherry Bilsing-Graham , Ellen Plummer",22370000
10,3,8.7,Friends,Gary Halvorson,Brian Buckner,21870000
10,4,8.2,Friends,Gary Halvorson,Robert Carlock,18760000
10,5,8.1,Friends,Roger Christiansen,Dana Klein Borkow,19370000
10,6,8.1,Friends,Ben Weiss,Sebastian Jones,20370000
10,7,8.1,Friends,Kevin S. Bright,Mark Kunerth,20210000
10,8,8.8,Friends,Gary Halvorson,Shana Goldberg-Meehan,20660000
10,9,8.5,Friends,David Schwimmer,Scott Silveri,25480000
10,10,7.8,Friends,Gary Halvorson,Doty Abrams,26680000
10,11,8.9,Friends,Kevin S. Bright,"David Crane , Marta Kauffman",24910000
10,12,8.8,Friends,Kevin S. Bright,"Robert Carlock , Dana Klein Borkow",25900000
10,13,8.4,Friends,Gary Halvorson,"Sherry Bilsing-Graham , Ellen Plummer",24270000
10,14,8.5,Friends,Gary Halvorson,Story by: Robert CarlockTeleplay by: Tracy Reilly,22820000
10,15,8.4,Friends,Gary Halvorson,"Story by: Mark KunerthTeleplay by: David Crane , Marta Kauffman",22640000
10,16,8.8,Friends,Gary Halvorson,"Andrew Reich , Ted Cohen",24510000
10,17,9.6,Friends,Kevin S. Bright,"Marta Kauffman , David Crane",52460000
1,1,8.1,The Simpsons,NaN,NaN,695300
1,2,7.7,The Simpsons,NaN,NaN,455700
1,3,7.3,The Simpsons,NaN,NaN,400700
1,4,7.7,The Simpsons,NaN,NaN,395500
1,5,7.9,The Simpsons,NaN,NaN,429900
1,6,7.6,The Simpsons,NaN,NaN,384100
1,7,7.7,The Simpsons,NaN,NaN,373200
1,8,7.6,The Simpsons,NaN,NaN,358600
1,9,7.4,The Simpsons,NaN,NaN,355500
1,10,7.3,The Simpsons,NaN,NaN,344300
1,11,7.8,The Simpsons,NaN,NaN,351600
1,12,8.3,The Simpsons,NaN,NaN,388500
1,13,7.7,The Simpsons,NaN,NaN,384400
2,1,8.2,The Simpsons,NaN,NaN,385600
2,2,8.2,The Simpsons,NaN,NaN,398800
2,3,8.2,The Simpsons,NaN,NaN,411100
2,4,8,The Simpsons,NaN,NaN,335400
2,5,7.4,The Simpsons,NaN,NaN,318900
2,6,8,The Simpsons,NaN,NaN,314600
2,7,7.7,The Simpsons,NaN,NaN,307200
2,8,8.3,The Simpsons,NaN,NaN,341700
2,9,8.1,The Simpsons,NaN,NaN,349100
2,10,7.8,The Simpsons,NaN,NaN,304100
